unitSeq	TurnSeq	Speaker	Text
1	1	M:	(.) 在 美容院 —
2	1	M:	(.) 在 美容 公司 上班 .
3	2	F:	(...) 喔 .
4	3	M:	(...) 內湖 .
5	4	F:	(...) [很] 遠 嗎 ?
6	5	M:	[ch-] —
7	5	M:	(...) 超 遠 .
8	6	F:	(...) 在 哪 ,
9	6	F:	(...) 你 等 [2下] 要 拿去 丟 嗎 .
10	7	M:	[2就] —
11	8	M:	(.) 就 差不多 到 那 個 啊 ,
12	9	F:	(...) 你 [等 下 要 幫 我 拿去 丟 嗎] .
13	10	M:	[等 下 拿 回去 宿舍] ,
14	10	M:	(.) 拿 回去 宿舍 丟 .
15	11	F:	(.) 好 ,
16	11	F:	(.) <L3 感謝 L3> ,
17	12	M:	(...) 那 就 差不多 到 那 個 ,
18	12	M:	(...) 就 —
19	12	M:	(.) 快 到 那 個 圓環 啊 .
20	13	F:	(...) 喔 .
21	13	F:	(...) [2哪 一 個] 圓環 ,
22	14	M:	[2##] ,
23	14	M:	(.) 快 到 康寧 護校 那 個 圓環 —
24	15	F:	(.) ha ?
25	15	F:	(.) 什麼 ,
26	15	F:	(...) 好 遠 喔 .
27	16	M:	(.) 那 很 遠 啊 ?
28	16	M:	(.) 超 遠 的 啊 ?
29	17	F:	(...) 真的 ,
30	18	M:	(.) 從 我們 家 去 [要] ,
31	19	F:	[我] 大概 知道 是 哪 個 圓環 了 .
32	20	M:	(.) 從 我們 家 去 要 ,
33	20	M:	(...) 一 個 shi- —
34	20	M:	(...) 一 個 多 小時 吧 .
35	20	M:	(...) 我 上次 騎 一 個 多 小時 .
36	21	F:	(.) 因為 我 之前 好像 也 有 在 那 個 圓環 附近 的 診所 面試 ＠＠＠＠ .
37	22	M:	(...) 那 附近 有 那麼 多 診所 喔 .
38	23	F:	(...) 有 一 間 啊 ?
39	23	F:	(.) 然後 康寧 護校 自己 就是 有 康寧 醫院 啊 ,
40	24	M:	(...) um .
41	24	M:	對 對 [2對] .
42	25	F:	[2對] 啊 ?
43	26	M:	(...) 可是 康寧 護校 在 那 個 —
44	27	F:	(...) 可是 護校 跟 醫院 有 一 段 [距離] .
45	28	M:	[對 啊] .
46	29	F:	(.) 對 .
47	30	M:	(...) 不是 在 捷運站 下來 那邊 .
48	30	M:	(...) um 這 還 不錯 ,
49	30	M:	(...) <# 你 昨天 有 失眠 喔 #> ,
50	31	F:	(...) 你 可以 去 看 這 個 ,
51	31	F:	(.) 快 結束 了 .
52	32	M:	(...) 你 要 去 看 那 個 嗎 ,
53	33	F:	(.) 沒有 (.) 我 已經 去 看 完 了 ,
54	34	M:	(.) 喔 可是 我 看 過 了 ,
55	35	F:	(...) 你 看 過 囉 ?
56	36	M:	(.) um .
57	36	M:	(...) 你 要 去 看 那 個 ,
58	36	M:	(.) 梵谷 嗎 .
59	37	F:	(...) 還 在 考慮 耶 .
60	37	F:	(...) 我 覺得 人 可能 會 很多 .
61	38	M:	(.) 因為 才 展 幾 天 而已 .
62	39	F:	(...) TSK ,
63	39	F:	(.) 對 啊 .
64	39	F:	(...) 有 點 猶豫 ,
65	39	F:	(...) 不 覺得 人 很多 的 時候 都 —
66	39	F:	(...) 沒有 很 好看 .
67	40	M:	(.) 對 啊 ,
68	40	M:	(.) 所以 就是 —
69	40	M:	(.) 就是 想 說 什麼 時[2候 去 看] ,
70	41	F:	[2因為 上]次 那 個 ,
71	41	F:	(.) 那 個 甚麼 .
72	41	F:	(.) 龐畢度 的 時候 ,
73	41	F:	(...) 人 就 超多 的 .
74	41	F:	(...) 就 覺得 很 難看 .
75	42	M:	(...) 所以 我 在 想 說 甚麼 時候 去 看 皮克斯 啊 .
76	42	M:	(.) 感覺 再 過去 (.) 應該 人 會 更 多 .
77	43	F:	(...) 對 啊 .
78	43	F:	(...) TSK ,
79	43	F:	(.) 可是 沒 辦法 我 只有 假日 可以 ,
80	44	M:	(.) 高雄人 都 看完 了 .
81	45	F:	(...) ho .
82	45	F:	(...) 一 整 個 就 覺得 很 煩 ＠ .
83	46	M:	(.) ei ,
84	46	M:	(.) 那 所以 你 弟 現在 在 哪裡 .
85	47	F:	(...) 我 弟 喔 .
86	47	F:	(...) 不要 問 我 .
87	47	F:	(...) 對不起 我 腦袋 已經 塞 不 下 這麼 多 東西 了 ＠＠ .
88	47	F:	(...) 我 真的 ,
