Turn,Speaker,Utterance
1,M:,..在美容院
1,M:,..在美容公司上班
2,F:,...喔
3,M:,...內湖
4,F:,...[很]遠嗎
5,M:,[ch-]
5,M:,...超遠
6,F:,...在哪
6,F:,...你等[[下]]要拿去丟嗎
7,M:,[[就]]
8,M:,..就差不多到那個啊
9,F:,...你 [等下要幫我拿去丟嗎]
10,M:,[等下拿回去宿舍]
10,M:,..拿回去宿舍丟
11,F:,..好
11,F:,..<L3感謝L3>
12,M:,...那就差不多到那個
12,M:,...就
12,M:,..快到那個圓環啊
13,F:,...喔
13,F:,...[[哪一個]]圓環
14,M:,[[XX]]
14,M:,..快到康寧護校那個圓環
15,F:,..ha
15,F:,..什麼
15,F:,...好遠喔
16,M:,..那很遠啊
16,M:,..超遠的啊
17,F:,...真的
18,M:,..從我們家去[要]
19,F:,[我]大概知道是哪個圓環了
20,M:,..從我們家去要
20,M:,...一個shi-
20,M:,...一個多小時吧
20,M:,...我上次騎一個多小時
21,F:,..因為我之前好像也有在那個圓環附近的診所面試＠＠＠＠
22,M:,...那附近有那麼多診所喔
23,F:,...有一間啊
23,F:,..然後康寧護校自己就是有康寧醫院啊
24,M:,...um對對[[對]]
25,F:,[[對]]啊
26,M:,...可是康寧護校在那個
27,F:,...可是護校跟醫院有一段[距離]
28,M:,[對啊]
29,F:,..對
30,M:,...不是在捷運站下來那邊
30,M:,...um這還不錯
30,M:,...<X你昨天有失眠喔X>
31,F:,...你可以去看這個
31,F:,..快結束了
32,M:,...你要去看那個嗎
33,F:,..沒有
33,F:,..我已經去看完了
34,M:,..喔可是我看過了
35,F:,...你看過囉
36,M:,..um
36,M:,...你要去看那個
36,M:,..梵谷嗎
37,F:,...還在考慮耶
37,F:,...我覺得人可能會很多
38,M:,..因為才展幾天而已
39,F:,...TSK
39,F:,..對啊
39,F:,...有點猶豫
39,F:,...不覺得人很多的時候都
39,F:,...沒有很好看
40,M:,..對啊
40,M:,..所以就是
40,M:,..就是想說什麼時[[候去看]]
41,F:,[[因為上]]次那個
41,F:,..那個甚麼
41,F:,..龐畢度的時候
41,F:,...人就超多的
41,F:,...就覺得很難看
42,M:,...所以我在想說甚麼時候去看皮克斯啊
42,M:,..感覺再過去
42,M:,..應該人會更多
43,F:,...對啊
43,F:,...TSK
43,F:,..可是沒辦法我只有假日可以
44,M:,..高雄人都看完了
45,F:,...ho
45,F:,...一整個就覺得很煩＠
46,M:,..ei
46,M:,..那所以你弟現在在哪裡
47,F:,...我弟喔
47,F:,...不要問我
47,F:,...對不起我腦袋已經塞不下這麼多東西了＠＠
47,F:,...我真的
47,F:,..應該在立德啦
48,M:,...立德喔
49,F:,..對啊
50,M:,...技術學院喔
51,F:,..好
51,F:,..好像是吧
52,M:,...唸什麼
53,F:,...日文啊
54,M:,...日文
55,F:,..對呀
55,F:,...你也知道我弟不愛唸書
56,M:,...對呀
57,F:,..對
57,F:,..之前我爸一直叫他轉學
58,M:,..[XX]
59,F:,[因為感]覺他們學校快倒了
60,M:,..對啊
61,F:,..對啊
62,M:,..@@
63,F:,...對啊
64,M:,..你弟幹嘛跑去唸立德啊
65,F:,...我不知道啊
65,F:,...TSK
65,F:,..就是不愛唸書嘛
66,M:,...有到這種程度喔
67,F:,..有啊
67,F:,..真的有好不好
68,M:,...喔
69,F:,...對啊
69,F:,...嘖
69,F:,..很慘
70,M:,...可是至少離你們家很近@
71,F:,..但我還是覺得滿慘的
71,F:,...就完全不知道他出來要幹嘛
71,F:,..@
72,M:,...當宅宅啊
72,M:,...不錯
73,F:,..靠
74,M:,..@@@[[=]]
75,F:,[[當什麼]]宅宅
76,M:,..唸日文系出來可以當
77,F:,...我覺得他可以去摩斯打工就不錯了@@@
78,M:,..@
79,F:,...以後就靠他了
80,M:,...什麼鬼
81,F:,..@@@[=]
82,M:,[@]
83,F:,...還不錯啊
83,F:,..摩斯打工
83,F:,...打到正職
83,F:,..就至少比沒工作好啊
84,M:,..那
84,M:,..我想吃茹絲葵
84,M:,..可以去茹絲葵打工嗎
85,F:,..TSK
85,F:,..恐怕沒辦法
85,F:,..你知道我弟很嬌小
85,F:,..茹絲葵盤子可能太重
86,M:,..那挑個好日本餐廳
87,F:,..啊日本餐廳還不錯
87,F:,..盤子不會太重
88,M:,...對啊
89,F:,...<L3袂歹喔((不壞喔)) L3>
89,F:,..ei之前我跟我同學去吃一家叫
89,F:,...隆
90,M:,...在哪裡啊
91,F:,..隆起的隆
92,M:,..[[恩]]
93,F:,[[在]]九條通那裡
94,M:,...huh
95,F:,..林森北路那裡
95,F:,...@@
95,F:,...那邊很多都是那種就是
95,F:,..叫小姐陪的那種店
95,F:,..然後還有跟一些日本料理
96,M:,..喔原來那邊就叫九條通
97,F:,..對
98,M:,..喔
98,M:,..是是是
99,F:,...還滿好吃的
99,F:,...日本料理店
99,F:,..他是日本料理店不是陪小姐的那種
100,M:,..真的ho[@@@]
101,F:,[真的啦]
102,M:,..@我很懷疑
103,F:,..我去[[叫陪小姐幹麻啊@@]]
104,M:,[[@@@]]
105,F:,..甯翔毫
106,M:,..你怎麼知道
106,M:,...妳們
106,M:,..診
106,M:,..TSK
106,M:,..診所
106,M:,...[[[主管都]]]灌人家酒
107,F:,[[[怎樣]]]
108,M:,...
108,M:,..這種診所
108,M:,..上樑不正下樑歪不是
109,F:,..靠
110,M:,..@@@=
111,F:,...今天
111,F:,..好啦
111,F:,..[總而言之就是一間]
112,M:,[跑到那裡去]
113,F:,..不錯的日本[[料理]]
114,M:,[[跑到那裡]]去吃
115,F:,...對啊
116,M:,..很遠耶
117,F:,...就在中山站那裡啊
118,M:,..中山站
119,F:,...哪會很遠啊
120,M:,...um
121,F:,...林森[北路]
122,M:,[我知道]我知道啊
122,M:,...我沒有看過
122,M:,...就在新興百貨那裡
123,F:,...um我不知道在哪個百貨附近
123,F:,..反正就
124,M:,..就是有一個很大的公園
125,F:,...um好像過了那個公園
126,M:,..對啊
127,F:,..對啊
127,F:,..[[還不錯]]
128,M:,[[過去]]就是新興百貨
129,F:,..是喔然後之前我同學本來
129,F:,...就是
129,F:,...原本是要去吃瞞著爹
129,F:,...可是我同學[訂]不到位
130,M:,[喔]
130,M:,...那間我好像聽過
131,F:,...對啊
131,F:,..因為他才四個位子而已
131,F:,...瞞著爹才四個位子而已
131,F:,...他只是[[一間]]
132,M:,[[是吃]]那個
132,M:,...壽司啊
133,F:,...就日本[[[料理店啊]]]
134,M:,[[[在師大]]]那邊對不對
135,F:,..對對對對對
135,F:,...他是吃那個生yu-
135,F:,..那個
135,F:,..握壽司的
136,M:,..那為什麼不去吃游壽司
137,F:,...有去吃啊
137,F:,..之前就去吃[過]了啊
138,M:,[喔]
138,M:,...瞞著爹好像很好吃
139,F:,..[[游壽]]司也不錯啦
140,M:,[[<X看起來X>]]
141,M:,...um
142,F:,...對啊
143,M:,..我那天就跑去吃那個<L4 Yu Sushi L4>斜對面的
144,F:,..那什麼
145,M:,...那什麼花知道的
146,F:,..[花知道]
147,M:,[因為
147,M:,..因]那個主廚是我
147,M:,...同學的室友
148,F:,...是喔
149,M:,...所以每次去都有 special
150,F:,...真的喔
150,F:,..這麼爽
150,F:,...那甚麼時候可以跟你一起去吃[[@@@=]]
151,M:,[[@@=]]
152,F:,..快點
152,F:,...手機拿來
152,F:,...我看一下我的schedule
153,M:,...最好是有空啦
154,F:,..喔
155,M:,...然後他每天都XXX
156,F:,..那他開到從幾點開到幾點
157,M:,...<X我在想X>
157,M:,..吃下
157,M:,...吃
157,M:,..就吃中午跟晚上
158,F:,...喔
158,F:,..叫甚麼
158,F:,..花知道喔
159,M:,..um
160,F:,..哪一個花啊
160,F:,...flower的[[[花喔]]]
161,M:,[[[對啊]]]
161,M:,...知道啊
162,F:,...哪一個知
162,F:,...這個之
163,M:,...就知道的知道啊
164,F:,..喔知道
164,F:,...喔
164,F:,..好
165,M:,..就斜
165,M:,..就在
165,M:,..那個
165,M:,..斜
165,M:,..斜對面的巷子裡
166,F:,...好
166,F:,...去查一下
166,F:,..是吃甚麼的
166,F:,..日本料理喔
167,F:,..要不然le
168,M:,...就
168,M:,..[西餐]
169,F:,[複合式]
170,M:,...[[西餐]]
171,F:,[[喔]]
172,M:,..西餐還有那些
173,F:,...好
173,F:,..好
173,F:,...去查一下
174,M:,...TSK
175,F:,...怎樣啦
176,M:,..沒有
177,F:,...好想吃日本料理喔
178,M:,...日本料理
178,M:,...去吃那間
178,M:,...握
178,M:,..那個握壽司吃到飽啊
178,M:,...在那個
179,F:,...我覺得
179,F:,..好吃嗎
180,M:,...還可以
180,M:,..可是聽說三燔好像更好吃
181,F:,...哪
181,F:,..哪裡
182,M:,...就在一零一裡面啊
183,F:,...喔
184,M:,...一個人好像
184,M:,...六百八吧
185,F:,...喔
185,F:,...還好
186,M:,...對啊
187,F:,..um
188,M:,..um
188,M:,..握壽司吃到飽
188,M:,..差不多那個價錢
189,F:,...六百八還好
190,M:,...XXXXX
191,F:,...我上次跟我同學去吃那間隆
191,F:,...我們兩個人就吃了兩千五
191,F:,...而且還是宵夜喔
192,M:,..@
193,F:,..@@
193,F:,..@@
194,M:,..@
194,M:,..吃瞞著爹還比較省錢
195,F:,..ha
196,M:,..瞞著爹才
197,F:,..對
197,F:,..瞞著爹大概七八[百]
198,M:,[七]八百
199,F:,..一個人七百多而已
199,F:,..對
200,M:,..還不如去吃竹壽司
201,F:,...好熟
201,F:,..好熟悉的名字喔
202,M:,...在景美那邊啊
203,F:,...竹壽司
203,F:,...景美有點麻煩
203,F:,...還是去瞞著爹好了
204,M:,...對啊
204,M:,..[[和平東路一直]]走就到了
205,F:,[[比較方便]]
206,M:,..對啊
207,M:,...我也還沒去過耶
207,M:,..是不是在那個
207,M:,...小巷子裡面啊
208,F:,..我不知道
208,F:,...我只有看那個
208,F:,...就是
208,F:,..大家的blog上面寫的
209,M:,...之前看到的
210,F:,..um
211,M:,..這家看起來很好吃
212,F:,..um
212,F:,..沒錯
212,F:,...有空可以訂位一下
212,F:,...可是他好像很難訂耶
213,M:,...沒有
213,M:,..你很難有空
214,F:,...沒有
214,F:,..我覺得是比較難訂
214,F:,...因為他那邊才四個位子你要怎麼訂啊
215,M:,..台北
216,F:,...怎[樣]
217,M:,[還]好吧
217,M:,..四個人
217,M:,...宋廚都訂得到了
218,F:,...喔
219,M:,...宋廚也差不多是
219,M:,..不知道是四個人還八個人
220,F:,...是喔
221,M:,...對啊
221,M:,..然後聽說要兩個月前
222,F:,..喔
222,F:,...你不覺得兩個月前很麻煩嗎
222,F:,...因為有太多
222,F:,..就是不可預期的事情
223,M:,..不會啊
223,M:,..因為每天都很忙
223,M:,..所以不會有太多[[@@=]]
224,F:,[[@@@=]]
224,F:,..就是一天只
224,F:,..就是已經被塞到百分之八十了
225,M:,..對對對
225,M:,..所以是可以預期沒那麼忙
225,M:,..不會有
225,M:,..可以預
225,M:,..預期
225,M:,..不可預期的事情出現這樣
226,F:,...喔@@
227,M:,...對
228,F:,..好啊
229,M:,...然後還要
229,M:,..又要應付那種
229,M:,..老闆
229,M:,...突然出現在實驗室說
229,M:,...ei
229,M:,..XX
229,M:,..你怎麼在
229,M:,...實驗室
229,M:,..去我辦公室談一下這樣
230,F:,...@@@=
231,M:,...真的很<L3 bei lan ((爛)) L3>
232,F:,...不錯啊
232,F:,..代表老闆喜歡你啊
233,M:,...那是因為我們實驗室新來一個
233,M:,..泰國人
234,F:,...ha
235,M:,..我們實驗室新來一個
235,M:,...就是po- 
235,M:,...[那個post doc ]
236,F:,[我以為是你耶]@@=
237,M:,..就是泰國人
237,M:,..[[我到現在還不會]]唸他的名字
238,F:,[[@@@=]]
239,M:,..[妳知道嗎]
240,F:,[@@@]
240,F:,..我以為是你老闆覺得你是
240,F:,...實驗室新來的泰國人
240,F:,...有像好不好@@=
241,M:,..@@=
241,M:,..是像在哪啊
242,F:,..eh我今天
242,F:,..就是
242,F:,..我最近在看一個日劇
242,F:,..然後他就是
242,F:,..那個
242,F:,...演泰
242,F:,..日混血兒
242,F:,..然後在日本
242,F:,..然後他就是
243,M:,..達比修友就是泰日混血兒好不好
244,F:,...不知道他是誰
244,F:,..好像是松本潤演的
245,M:,...然後咧
246,F:,..然後
246,F:,..就跟你現在的這一身打扮很像啊
246,F:,...就頭髮長長
246,F:,..皮膚黑黑的
247,M:,..我哪有皮膚黑黑的啊@
248,F:,...@@你沒有嗎
249,M:,...拜託
249,M:,..那妳沒有看過皮膚黑黑的好不好
249,M:,..我們
249,M:,..那個隔壁實驗室那個衣索比亞人
249,M:,..超黑
250,F:,..衣索比亞人[@=]
251,M:,[@=]
252,F:,..你要跟衣索比亞人比[[幹嘛@=]]
253,M:,[[@]]他今天來
253,M:,..他就
253,M:,..[ei]
254,F:,[他]是衣索比亞人ei
254,F:,..他是黑人ei
254,F:,..[[你是]]黃種人ei
255,M:,[[然後重]]
256,M:,..就
256,M:,..就是他在說
256,M:,..他自我
256,M:,..他在自我介紹說
256,M:,..他是衣索比亞人的時候我們同學在底下問說
256,M:,..所以他會
256,M:,..他平常常常肚子餓嗎
256,M:,..[@=]
257,F:,[@=]
257,F:,..@@@
258,M:,..喔最靠
258,M:,..我覺得那個
258,M:,...新來的那個泰國人
258,M:,..真的
258,M:,...TSK
259,F:,..怎樣
260,M:,..不知道說什麼
260,M:,..就他
260,M:,..第一天來啊
260,M:,...然後
260,M:,...那個什麼
260,M:,..學姐就叫我
260,M:,..就是
260,M:,..學姐本來在跟他介紹實驗室
261,F:,..um
262,M:,...然後學姐講一講講一講
262,M:,...然後就
262,M:,..我就
262,M:,..我就到實驗室
262,M:,..然後她就說
262,M:,..喔喔喔
262,M:,...你
262,M:,..你英文比較好
262,M:,..你跟他講
263,F:,..um
264,M:,...我就跟他講
265,F:,...um
266,M:,...然後講完之後
266,M:,...然後下午 meeting
267,F:,...um
268,M:,...下午 meeting 的時候
268,M:,...他用[中文自我介紹]
269,F:,[中文 present]
269,F:,..@@@=
270,M:,..@@[[@]]
271,F:,[[@]]@@是你們自己不跟人家講中文的啊
272,M:,..然後就
273,F:,...說不定他是泰
273,F:,...泰台[混血]啊
274,M:,[@@]
275,M:,..TSK
275,M:,..不
275,M:,..不是啊
275,M:,...就
275,M:,...嘖
275,M:,..看我
275,M:,..講得那個樣子
275,M:,..他不能就是說
275,M:,...其實我聽得懂中文
275,M:,...TSK
275,M:,...[[這樣
275,M:,..這樣很貼心嘛]]
276,F:,[[ei
276,F:,..他怕就是
276,F:,..他怕你]]
276,F:,..就是
276,F:,...精心準備了這一套
276,F:,..就是要 introduce 你的實驗室的
276,F:,...然後怕打斷你會不好[意思]
277,M:,[我<X那天X>]
277,M:,..我<X真的X>想把他殺掉
278,F:,...他可能就是
278,F:,...不了解台灣的文化啊
278,F:,...所以就不好意思打斷你
279,M:,...TSK
279,M:,..真不知道說什麼
279,M:,..@@
279,M:,..@@
279,M:,....而且我到現在還是不會唸他的[[名字]]
280,F:,[[@@=]]
281,M:,..因為他寫
281,M:,..就他xi-他寫那個名字
281,M:,..喔
281,M:,..不會唸
282,F:,..喔
283,M:,..超奇怪的
284,F:,..喔
285,M:,..嗯
285,M:,..什麼<L2 a L2>什麼的
285,M:,..我不知道怎麼唸
285,M:,..XX
286,F:,...哦
286,F:,...泰國人
287,M:,..對啊
288,F:,...TSK
288,F:,...不錯耶
288,F:,...很有潛力
289,M:,...不知道耶
290,F:,...明天我還要去新竹什麼綠世界
290,F:,..到底要走多久
290,F:,..先看一下
291,M:,...@=好好一個週末
292,F:,...阿綠世界
292,F:,...九點半
292,F:,...到
292,F:,..十二點半
292,F:,...怎麼那麼久喔
293,M:,..聽起來好像很棒耶[@@@]
294,F:,[還有動物劇場]eh
294,F:,...@@
294,F:,..想想看裡面會有什麼動物呢
294,F:,...他會不會就是把電燈關掉
294,F:,..然後一下這裡亮
294,F:,..一下那裡亮
294,F:,..然後之後叫大家猜說是什麼動物[[之類的]]
295,M:,[[免錢我]]也不去
295,M:,..我寧願在家睡覺
295,M:,..@@
296,F:,..ho
