Turn,Speaker,Utterance
1,M:,我今天有跟你講
1,M:,..那個
1,M:,..Jason的事嗎
2,F:,..沒有啊
3,M:,..就是
4,F:,..他抱你
5,M:,..對
5,M:,..他
5,M:,..他因為做錯
5,M:,..不知道做錯甚麼事情
5,M:,..然後就覺得很對不起我
6,F:,..嗯
7,M:,..然後他就說
7,M:,..eh朱怎樣怎樣
7,M:,..然後我就說停止放開
7,M:,..這個不是你能抱的
7,M:,..只有一個人可以抱而已
8,F:,..[ @@@]=你這樣跟他講
9,M:,[@@@=]
10,M:,..對
10,M:,..然後他整個人喔喔喔
10,M:,..這樣
10,M:,..趕快放開
11,F:,..ha
12,M:,..然後第二次喔
12,M:,..第二次我坐在辦公室
12,M:,..他過來我不知道
12,M:,..承認甚麼事
12,M:,..又錯
12,M:,..然後就過來摸我的頭
12,M:,..我說手拿開
12,M:,..這個也不是你能夠摸的[@@@=]
13,F:,[@@@=]
14,M:,他整個人很尷尬
15,F:,你很over 吧
15,F:,..可是很好
15,F:,..以後[就這樣]
16,M:,[對啊]
17,F:,..[[@@@]]
18,M:,[[@@@]]
18,M:,..他也很好笑啊
18,M:,..然後他說我快被淹死了
19,F:,..你
20,M:,..嗯
21,F:,..你淹死
22,M:,..嗯
23,F:,..為甚麼
24,M:,..因為他說我沈浸在愛河裡面
24,M:,..快被淹死了
25,F:,..那跟掃螞蟻有甚麼兩樣
26,M:,..對啊
26,M:,..整個很好笑[喜歡虧我]
27,F:,[他那天很好笑]
27,F:,..掃地就掃地
27,F:,..掃甚麼
27,F:,..[[掃螞蟻]]
28,M:,[[掃螞蟻]]
28,M:,..@
29,F:,..為甚麼
30,M:,..啊
31,F:,..[為]甚麼要掃螞蟻
32,M:,[就]
33,M:,..就
33,M:,..太甜了啊
33,M:,..吸引一堆螞蟻過來
34,F:,..@@@=
35,M:,..笑得太甜了
35,M:,...Jason其實人
35,M:,..人很好
36,F:,..對啊
36,F:,..我們改天找他吃[[飯哪]]
37,M:,[[有啊我有跟他講]]
38,M:,..對啊
39,F:,那
39,F:,..那這個就真的你來排了
40,M:,..嗯
40,M:,..好
41,F:,..反正我就是晚上
42,M:,..嗯
43,F:,..如果不是weekend 的話
44,M:,..OK
44,M:,...可以叫他帶他女朋友
44,M:,..沒有[曝光的]
45,F:,[<X有伴Ｘ>]
46,M:,..<X有伴X>
46,M:,..沒有曝
46,M:,..曝光過的
47,F:,..到現在都沒有嗎
48,M:,..大家應該大家現在應該知道
48,M:,..可是你想想看他們交往多久了
48,M:,..三年了
48,M:,..三年le
48,M:,..然後他一直隱藏得很好
49,F:,..很久嗎
50,M:,..可是在公司來講他們是同一個部門
50,M:,..在同一個部[門]
51,F:,[喔]你是說時間很久
51,F:,..可是是
51,F:,..大家不知道的情況之下
52,M:,..對
53,F:,..還那麼久又同部門
54,M:,..對
54,M:,..然後都沒有一些破綻
55,F:,..你講的這個
55,F:,..我那天不是跟V 聊天
55,F:,..我就說
55,F:,..喔
55,F:,..有可能E又要調回去高雄了
56,M:,..嗯
57,F:,..然後他就說那天他跟鈴聊很久啊
57,F:,..甚麼的
57,F:,..然後就說他了解E的處境啊
57,F:,..畢竟在同一個公司綁手綁腳的
57,F:,..我就不認同
57,F:,...我沒有回他甚麼
57,F:,..我只是覺得說
57,F:,..但是我覺得
57,F:,..琴他能力也不錯
57,F:,..他[應該]
58,M:,[對啊]
59,F:,..deserve it 
59,F:,..[[然後]]
60,M:,[[eh
60,M:,..其實]]他比任何一個主任的觀念都還好
61,F:,..對
61,F:,..然後
61,F:,..他就說他覺得琴看起來很強勢
62,M:,..嗯
63,F:,..或許應該要建議他跟
63,F:,..他說他可能跟
63,F:,..E的溝通沒有很好
63,F:,..我就說可能是
63,F:,..他說或許他應該要
63,F:,..我應該要建議
63,F:,..琴就是
63,F:,..可以用以柔制剛
63,F:,..因為琴會
63,F:,..像我一樣
64,M:,..對
65,F:,..得理不饒人
66,M:,..對
66,M:,..[很硬]
67,F:,[如果]
67,F:,..你
67,F:,...你就是有理的時候
67,F:,..你要
67,F:,..你要
67,F:,..你要我
67,F:,..[[軟]]下來
68,M:,[[軟]]
68,M:,...[不可能]
69,F:,[就是]
69,F:,..當下就不行
69,F:,..可是我覺得這樣就是佔弱勢了
69,F:,..以後應該得理可是
70,M:,..[[可以饒人]]
71,F:,[[又要用]]
71,F:,..不是
71,F:,..又要用軟的攻勢讓你一點輒都
71,F:,..你就有
71,F:,..辦
71,F:,..有可能會被我說服
72,M:,..嗯
72,M:,..對
72,M:,...很機車的想法
72,M:,.. @@@ [=]
73,F:,[誰
73,F:,..我嗎沒有啊]可是你自己想想看
73,F:,..你也希望人家跟你講事情的時候是
73,F:,..不是太
73,F:,..太
73,F:,..[[硬的]]
74,M:,[[情緒太高漲的]]
75,F:,..不是情緒
75,F:,..就是太硬
75,F:,..我知道你對
75,F:,..但是如果你那麼的硬那麼的強勢的時候
75,F:,..我就是不爽[接受]
76,M:,[不爽]
77,M:,..嗯
78,F:,..不曉得不爽這兩個字
