Turn,Speaker,Utterence
1,F1:,..不是..欸我跟你說..曉很愛我們好不好
2,F2:,..愛你
3,F3:,..愛[我們]
4,F1:,[不是]..因為我..我覺得一定是因為我們選了他的好朋友
5,F2:,(0)[[喔因為你選]]..因為你選..你們選聯發科很難做
6,F1:,[[就聯發科]]
7,F3:,(0)所以呢聯發科怎麼了
8,F1:,..聯發科啊就我們
9,F2:,..就做那個..算是做..晶圓的嗎..他是做晶圓的嗎
10,F1:,..IC嗯嗯嗯對對對
11,F2:,..嗯
12,F1:,..設..他是設計..他是設計
13,F2:,..喔
14,F1:,..唉呦
15,F3:,..那是甚麼
16,F1:,(0)[反正就是聯發]
17,F2:,[就是設計]半導體的那個晶圓片啊
18,F3:,..啊那要做甚麼
19,F2:,..啊他們就是要研究它們企業裡面內部啊
20,F1:,..像他們就是..[[黑松]]
21,F2:,[[黑松]]
22,F2:,..黑松很難找..因為感覺=大家寫新聞都很喜歡寫那種台灣比較重要的產業..所以像IC產業就會很多..然後像..黑松這種就很少
23,F1:,..喔
24,F3:,..他們也不太需要公關吧..他們就沒什麼事所以就不用
25,F2:,..才怪[@]
26,F3:,[真的嗎]
27,F2:,..很需要吧
28,F1:,(0)[[我也覺得需要]]
29,F2:,[[我覺得每間公司]]都很[需要]
30,F3:,[我說他們]自己覺得自己不需要
31,F2:,(0)對啊他們自己覺得自己不需要
32,F3:,..因為他們覺得他們很老牌了啊..不需要一天到晚做這種花錢的事情
33,F1:,..但其實食品業感覺很需要..因為之前不是有那個..一些風波
34,F3:,..說到黑松..我上次就..我最近就在看那個韓國的那個..一個一個在台大讀書的女生的youtube ..然後他就有跟..就有跟艾..不是艾..那是誰啊
35,F1:,..喔我超討厭艾
36,F2:,..我也是=我真的超討厭他
37,F3:,..[[為甚麼]]討厭艾啊
38,F1:,[[因為她就..對啊]]
39,F2:,[[他好吵喔]]
40,F1:,..很煩欸
41,F2:,..而且我覺得他一直讓我覺得有一種自以為是的感覺
42,F3:,..他很像綠茶喔
43,F1:,..[有啊]
44,F2:,[有啊]
45,F1:,..他不是綠茶吧..他就是..他就是婊而已啊
46,F3:,..他應該不是吧我覺得他很聰明啊..我是說他感覺腦袋很好
47,F2:,..可是是那種<L3 gan-kiao ((詭詐)) L3>的那種
48,F3:,..<L3 gan-kiao ((詭詐)) L3>是甚麼
49,F2:,..<L3 gan-kiao ((詭詐)) L3>就是很..很小聰明的那種感覺..[[對吧]]
50,F3:,[[那我是嗎]]
51,F1:,..哈..反正我就不喜歡艾
52,F2:,..我也不喜歡艾
53,F3:,..哈我還好欸..可是我不喜歡艾跟一群男生一天到晚出去玩..是這樣嗎..就是不同男生..然後就覺得很怪異就是她也說不出來他們到底是甚麼關係..然後又是一群男的..然後每次都不同群
54,F2:,..[他跟一群男的..他的影片喔]
55,F3:,[上次他跟..上次他跟..對.. ]我不知道是不是他朋友..他上次就說..他上次要去吃藏壽司…還是壽司郎..然後他就跟一群日本來的男生..一群然後一起去吃..然後我就不知道她那群男生是哪裡來的啊..就是他感覺生活圈不是這群人..對啊他們是誰啊
56,F1:,(0)[[他可能]]
57,F2:,[[他很多]]網友吧
58,F3:,(0)他很多網友..然後有時候[他就去]
59,F2:,[啊不然他幹嘛]拍那個影片..那種實測那種交友軟體的影片..感覺他自己平常就有在用啊..平常沒在用的人為甚麼會想要去做這個主題
60,F1:,..但我現在真的沒在關注艾..因為我真的是
61,F3:,..因為我後來就覺得太怪了我就不看了…anyway 反正不是艾是瘋女人
62,F1:,..嗯
63,F3:,..然後他..就他在試喝飲料
64,F1:,..嗯=有聽過啊
65,F3:,..然後就試喝那種台灣人會覺得怪怪的..或是…或是
66,F2:,..或是[韓國的怪飲料]
67,F3:,[對對..就是韓國]的怪飲料和台灣的怪飲料然後交換喝..然後就..反正就..那個女生就在講說他覺得黑松..就韓國人就說覺得黑松很像什麼什麼..牙膏
68,F2:,..還是甚麼痠痛貼布
69,F3:,..酸痛貼布是日本人說的
70,F2:,..對
71,F1:,..哦=
72,F3:,..反正他們就說不喜歡黑松
73,F2:,..對
74,F1:,..是喔..的甚麼飲料啊
75,F2:,(0)就[[黑松沙士啊]]
76,F3:,[[黑松沙士啊]]
77,F1:,..沙士喔..哈=
78,F2:,..我覺得蠻好喝的
79,F3:,..我也覺得蠻好喝的
80,F1:,..我也覺得很好喝…可是我覺得韓國的飲料其實蠻難喝的
81,F3:,..對啊他們飲料超難喝的..那個
82,F2:,..都很甜
83,F1:,..嗯=
84,F2:,..都很甜..之前那個不是有一陣子很紅是那種三角形的那個嗎…咖啡牛奶
85,F1:,..嗯=
86,F2:,..對對對對對..就韓國有一陣子很紅
87,F3:,..包裝成三角形的嗎
