Turn,Speaker,Utterence
1,F1:,(0)可是他是獨子耶..他不是獨子嗎
2,F2:,..是啊..可是他們家也沒有什麼好繼承的啊=
3,F1:,..噢..[他們家在幹嘛]
4,F2:,[他媽媽就家庭主婦]..他爸爸就是一個水…要…快退休的水電工
5,F1:,..噢
6,F2:,..沒什麼好那個的啊=..[[對啊..讓他繼承我家]]
7,F1:,[[這樣很好啊..這樣搞不好]]他們家還覺得這樣比較好..就是至少兒子有一個…[後路]
8,F2:,[我覺得]…比如說…如果他媽..如果哪一天真的如果我跟他媽一起吃飯的話..他媽應該會這樣握著我的手說…真的太棒了…我兒子終於找到一個很好的工作
9,F1:,..你認識他媽了嗎
10,F2:,..不認識
11,F1:,..這麼久沒認識…沒吃飯
12,F2:,..[[就是]]
13,F1:,[[啊]]…你媽認識他嗎
14,F2:,..我媽好像跟他很熟
15,F1:,..真的假的
16,F2:,..我媽叫他良
17,F1:,..@@
18,F2:,..良啊…@
19,F1:,..@太可愛了吧@
20,F2:,...因為我會跟我媽說施怎麼怎麼樣..我媽說..他是施
21,F1:,..@@@她該不會以為他本名就叫施
22,F2:,...沒有…@@@...@施…施…@
23,F1:,...@她還有時候還想很久…想說這個人的媽媽到底怎麼會這樣取名字@
24,F2:,...@你媽會幫你取婷嗎@
25,F1:,...@@@...因為你知道你又沒有跟你媽講說
26,F2:,..有啊她知道啦…怎麼可能不知道
27,F1:,..噢…我想她不知道他本名
28,F2:,..怎麼可能不知道本名
29,F1:,..我怎麼知道
30,F2:,..你很白痴耶=
31,F1:,..噢…抱歉
32,F2:,...@你媽不知道我本名嗎
33,F1:,...他好像知道
34,F2:,..對啊
35,F1:,..可是大部分都叫你小陳
36,F2:,...噢…也是…我媽都叫你水餃姊姊你知道嗎@@@=
37,F1:,..@真的假的@=
38,F2:,...因為你們家包水餃的
39,F1:,...但為什麼是姊姊…好可愛噢
40,F2:,..我也不知道..[她都叫你水餃姊姊]
41,F1:,..[那個市場那個]小孩都叫我水餃姊姊
42,F2:,..真的唷
43,F1:,..嗯…就是我每次po照片那個小孩
44,F2:,..抱小孩的那個…抱…用抱的那個噢
45,F1:,..沒有..他還不會講話
46,F2:,...啞巴
47,F1:,...他還小噢
48,F2:,..噢…@@@=
49,F1:,..@@@=..他還沒一歲耶=
50,F2:,..屁勒…我十…一個月就會講話了耶
51,F1:,...講什麼…髒話噢[@@@=]
52,F2:,[@@@]...你是不是講髒話啊
53,F1:,..你學的第一句一定是髒話啊=
54,F2:,..@我不是..okay…@
55,F1:,...我第一句是講英文耶..X
56,F1:,..抱歉… @@@=
57,F2:,..@@@...卡…@@@...白痴
58,F1:,..欸而且…因為那是兩個…就是會來市場的不同的阿嬤..的孫子…然後大部分都是禮拜六是大的來…然後禮拜天小的來
59,F2:,..為什麼兩個要輪流來找妳
60,F1:,...沒有就是只剛好他們都會錯開
61,F2:,..是..等下…是哪個是那個賣便當的那個
62,F1:,...賣便當的..你說哪一個是賣便當的
63,F2:,..我說你說…你說來找你的小孩是他阿嬤在市場裡賣便當的那個
64,F1:,..沒有…大的是他阿嬤都會來跟其他攤販聊天
65,F2:,..嗯
66,F1:,...然後小的是他阿嬤在裡面賣飲料
67,F2:,..噢噢噢
68,F1:,..對..然後他們就是目前都是剛好就是都錯開..然後..而且他們..而且大的每次看到我..就是如果大的阿嬤來..然後小的小朋友來..然後看到我在跟小的小朋友玩
69,F2:,..[生氣]
70,F1:,[大的阿嬤就會跟那個小的阿嬤說]…啊..一定我孫子沒有來她才會抱你孫子..@[[@@=]]
71,F2:,[[@@@=]]
72,F1:,..然後小的阿嬤就會說..才沒有勒…她多喜歡我孫子
73,F2:,..@@=
74,F1:,..然後我媽就會[默默不講話]
75,F2:,..[那如果勒]…同時..那同時如果兩個來[[你要怎麼解決]]
76,F1:,..[[就是很尷尬啊]]…可是還沒遇到
77,F2:,..那你就[兩個一起抱]
78,F1:,[因為目前他]排得很好…他們就是會[[自動會錯開]]
79,F2:,[[你就說]]..來…[你只能坐一隻腿]
80,F1:,[不行]
81,F2:,..@@@=
82,F1:,..我無法…應該就只能陪大的
83,F2:,..可是又沒有很…又沒有很大的小孩…[又不是]
84,F1:,[XX]
85,F2:,...又不是已經…年紀很大了嗎
86,F1:,..[[沒有啊]]
87,F2:,[[是多小啊]]
88,F1:,..一個是一兩歲吧…啊一個是…[一歲以下啊]
89,F2:,[為什麼要陪大的啊]
90,F1:,...因為大的[[會]]
91,F2:,[[嫉妒]]
92,F1:,...因為大的是已經認識我…可是小的是我喜歡他…因為他太可愛了
93,F2:,[噢]=
94,F1:,[可是]他的是已經認識我他會想要找我玩
95,F2:,..[[噢]]
96,F1:,[[對]]..所以一定要陪大的啊=
