Turn,Speaker,Utterence
1,F1:,…話說真的是這樣耶
2,F2:,..對
3,F1:,..我那同學..有一個同學的爸爸..然後好..就是發明了一項專利
4,F2:,..嗯
5,F1:,..然後有人跟他買
6,F2:,..嗯
7,F1:,..然後自此之後..他們家..就..從來
8,F2:,…嗯
9,F1:,..都沒有人在賺錢
10,F2:,…@@[好好喔]
11,F1:,[因為太賺了啊] ..[[太賺了]]
12,F2:,[[好好喔]]
13,F1:,…就是我跟你說的那個有錢同學的同學這樣
14,F2:,..嗯哼…啊講到這個…我發現說…還滿多人家裡會有那種…發明了什麼東西拿去做專利…我ji-...我跟我同學講完了之後他們z-..我們家是花瓶…他們家的就比較不衛生…我們還在吃東西但是我還是要講
15,F1:,..@
16,F2:,..他爸爸z-..他爸爸發明的是…你知道…上廁所 的時候它會…有時候那個馬桶…會..反濺.. 你知道[嗎]
17,F1:,[嗯]
18,F2:,…所以說他爸爸就發明了一個東西…就是說不會濺上來
19,F1:,..good …很棒的想法…話說…就是有一位…有一位..明星光良嘛
20,F2:,..嗯
21,F1:,…因為他很愛蹲[[廁所..他說他超會吐]]
22,F2:,[[@@@=]]
23,F1:,…他不是說他用什麼方法
24,F2:,..嗯哼
25,F1:,..然後..它不會噴出來…就是可能他在…那個的時候然後就噗通這樣噴出來…他說..有一個方法..就是你在上廁所的時候鋪一層衛生紙在上面
26,F2:,..喔[耶=]
27,F1:,[就不會噴了]
28,F2:,..對我想到這個是..我=現在想起來了…我的我同學跟我講說他爸爸發明那個方法之後..然後他馬上吐槽就說…我爸發明的那個..只要鋪一張衛生紙就解決了啊..誰特地去買他的發明啊
29,F1:,..@@@=[<L3 hei L3>啊]
30,F2:,[@@@]..然後那個我記得我那時候的回答是說....可是....一張衛生紙只能..抵一次
31,F1:,..妳是說…欸說不定他爸爸發明有一天總會有用到
32,F2:,..可是那我同學跟我講那時候..那時候我們兩個都還讀國小....欸沒有..國中了....對…
33,F1:,..嗯=那你
34,F2:,…國中[到現在]了啊
35,F1:,[四五年]
36,F2:,..很久了啊=
37,F1:,..很久了[[欸]]
38,F2:,[[七]]年八年了
39,F1:,..現在..現在馬桶也是這樣子啊[@]@
40,F2:,[@]
41,F1:,…可見沒有被買啊
42,F2:,..嗯..@[@@@]
43,F1:,[ <L3 gang kuan ((一樣)) L3>]…話說日本人不是也常發明那種很可愛的
44,F2:,..欸對耶我覺得日本人的發明真的是超厲害
45,F1:,..他們不是有那種帽子..然後
46,F2:,..用[[就-]]
47,F1:,[[ji-]]…就是..沒有它那是xi-..下雨的
48,F2:,..嗯哼
