Turn,Speaker,Utterence
1,F1:,所以大美就是阿Q的那個好友群是誰..是骨他們嗎還[是]
2,F2:,[X]骨是
3,F1:,..ei...骨頭骨頭@是骨頭...還是他教育營的那一個...小隊的之類的
4,F2:,..嗯...骨頭不算..吧因為骨頭是那個九七級的
5,F1:,...那為什[[麼跟]]他那麼熟
6,F2:,[[就是]]
7,F2:,..因為就我們從大一就開始合作到...畢業
8,F2:,..啊阿Q又很喜歡他...然後他們家有一個學弟
9,F1:,..[嗯]
10,F2:,[就會]約她還有他骨頭一起吃飯所以他們就會常常聚會
11,F1:,..[[喔]]
12,F2:,[[嗯嗯]]因為她好朋友的話應該就是曉就我之前的室友跟...[庭]
13,F1:,[子]嗎是[[子]]嗎
14,F2:,[[子]]..也比較少聯絡
15,F1:,..[嗯]
16,F2:,[可是]就是蠻好的好像還有庭
17,F1:,..庭
18,F2:,..uh
19,F1:,..庭我好像
20,F2:,..某天晚上有來這邊住...好像政大停電的那一天吧
21,F1:,..啊啊那[那那我]應該知道她是誰
22,F2:,[嗯嗯]
23,F2:,..對
24,F1:,...是喔
25,F2:,..嗯因為教育營的其實裡面有一個是...對啊教育營就是其實各自有各自的朋友圈
26,F1:,..嗯
27,F2:,..嗯
28,F1:,...那...可是我發現她大四的時候好像很少看到她跟朋友...什麼太多的來往
29,F2:,..因為她可根本就在日文系啊...就是[我]們
30,F1:,[喔]
31,F2:,..其實都在井塘上課比較多還是[[學]]思研究然後她都在
32,F1:,[[嗯]]
33,F2:,...就日文系我不知道在哪裡上課
34,F1:,..嗯
35,F2:,..嗯而且她課好像蠻少的吧
36,F1:,..ei我問[妳喔妳們]系的老師打分數是不是普遍都還不錯啊
37,F2:,[問啊你問]
38,F2:,..@普遍偏高@
39,F1:,..@因為
40,F2:,..蠻高啊[她成績]很好吧
41,F1:,[我就]
42,F1:,..讓我最訝異的就是那時候寢室四個人嘛..然後我們有法律教育廣告跟...外交
43,F2:,..嗯嗯嗯
