Turn,Speaker,Utterence
1,F:,就..我說我說...我們今天...吃[飯啊]..跟高中同學吃飯..然後他們就講到...就說欸很多人..就是..已經結婚然後有小孩了
2,M:,[喔]
3,M:,..然後
4,F:,...沒有啊..就覺得...他就說…他就說怎麼XX..XX這麼多..這麼多人..就是這麼這麼快就結婚有小孩這樣
5,M:,...X
6,F:,...@...這樣
7,M:,(0)所以所以所以你想要趕快結婚的意思嗎...你想
8,F:,...有一點..吧
9,M:,...可是你不是想要先..找工作嗎
10,F:,..對啊
11,M:,...所以你想要先找工作然後再...有穩定的生活然後再..再
12,F:,(0)可是我有時候覺得說..啊是什麼樣子才叫穩定的生活...你看像..像..我我我我跟..就我跟他講說..那個XX那個..對啊..啊..我就說啊[XXX]
13,M:,[跟他]..是誰
14,F:,...就跟XX的對啊..然後...就有說..啊那個需要外派啊..這樣..然後他就..他就他就他就沒沒沒什麼講話這樣..然後他就說..um:我覺得好像不是很好耶這樣...啊我就想說..其實其實那時候..講完那個...外派那個啊..然後我就想說...啊這樣外派..啊然後...也...就覺得說..TSK會沒有甚麼交集吧
15,M:,...你說遠距離喔
16,F:,(0)<L3 heia ((對啊)) L3>...啊然後如果我又..我又想要早點結婚的話
17,M:,...可是要外派應該有一定的年限吧..就是他可能..[可能...三]
18,F:,[你說外派出]去幾[[年那種]]
19,M:,[[對對對就是三]]年以後..之後就回來台灣…之類的
20,F:,...喔
21,M:,就是類似這樣
22,F:,...我也不知道I don’t [know]
23,M:,[啊]他現在...有找到新的工作嗎
24,F:,...就百貨公司那個清潔人員那個啊
25,M:,...huh...他不是樓管嗎
26,F:,..不是..我同學講錯了..我是之後問他然後問得比較清楚..他就說..他是做那個清潔人員..啊可是他現在是主管..就是小組長這樣..對啊..他就是..每[天]
27,M:,[你]說你說帶..帶..他下面有一..有一..群[[但是都是清]]潔人員
28,F:,[[對對對對對]]
29,M:,..[然後他是]一個
30,F:,[對對對對對]
31,M:,...頭這樣[[子]]
32,F:,[[對]]對對[對對]
33,M:,[啊他]要掃嗎
34,F:,...uh要
35,M:,..@
36,F:,..可是..就是他..他要掃的那個...比較s-..就是他不會很常去掃...反正他..最主要的目的就是要去...查看..要去巡說..他下面那些人有沒有掃乾[淨這樣]子..啊他自己也有一塊..一部份..是要他自己去掃的
37,M:,[um]
38,F:,...啊他只是小組長而已呀...他上面還有一個...那個..主任吶..啊主任有時候也會叫他去做事情..就是譬如說..就是剪那個百貨公司外圍的樹木啊..然後除草啊這樣子
39,M:,...所以他們就是...所以他們是外包[的]
40,F:,[對對]對對對那是外[[包]]
41,M:,[[然]]後然後就是...就是百貨公司所有的..清潔工[作都是]給他們就對了
42,F:,[<L3 heia ((對啊)) L3>]
43,M:,..[[就是廁所..地板這些]]
44,F:,[[對對對..<L3 heiheihei ((對對對)) L3>..對對對]]對對
45,M:,..哦
