Turn,Speaker,Utterence
1,M:,..我昨天sh-
2,F:,...怎樣
3,M:,..睡很少..你知道為什麼嗎
4,F:,..為什麼
5,M:,...我覺得那個啵啵啵的那個是老鼠
6,F:,…你不是說那是牆壁裂開
7,M:,...可是不可能裂一整個晚上吧...而且我今天早上...去看外面的時候..覺得沒什麼變耶..就是..沒有..裂很多XXX
8,F:,...你昨天有開冷氣
9,M:,...沒有開
10,F:,..沒有開冷氣也會啵啵啵
11,M:,..對啊..所以才說是老鼠
12,F:,…跟你講一個更恐怖的…阿飄
13,M:,...我已經不會怕了
14,F:,...為什麼...我真的看過那種電影耶
15,M:,..我知道啊...我跟每個人講..每個人都說..裡面的人都出來啊
16,F:,...對啊..你..你大概看過那種電影啊..牆壁裡面藏了個人...藏了一個屍體…然後
17,M:,...呀@=
18,F:,..哦 @@@= ...被困了二十年了...我沒有辦法出來
19,M:,...可是我住了快一年才這樣子耶
20,F:,..怎樣
21,M:,..扣..扣..扣..他跟你有感情啦…他知道你要搬走了..哦啊..蚊子...那裡啦
22,M:,...看到了不會打啊...用你那一招..用你們家那一招啊..拍到地上踩死啊..快點啊..快點啊...撲在地啊
23,F:,..有樣的
24,F:,...賤...大師出馬啊
25,M:,..我說..外面的那個什麼
26,F:,...嗯..嚇死你
27,M:,..外面那個..它應該不是...它是牆壁..應該不是牆壁
28,F:,...是牆壁..我覺得它是..有人在敲木頭的那種聲音..扣扣…扣扣
29,M:,..它是...牆壁然後...塗一層..應該是那種..防水漆..厚厚的那種
30,F:,..你那個是...層板...它是...做水泥之後它就用一個木頭擋住而已
31,M:,...對...哦...一定是壁癌太嚴重了
32,F:,..不是..壁癌不會啵啵啵
33,M:,..不是不是...我說他一定是…直接那種薄薄的木頭
34,F:,..對
35,M:,..給他..直接貼在那個..水泥牆上
36,F:,..對
37,M:,..然後外面再塗那種防水漆
38,F:,…對
39,M:,..對..所以它那個..因為壁癌它那個..水滲出來會把木頭腐蝕掉...然後又透過那個...木頭又..又再把那個外面防水漆弄壞
40,F:,..你那個是新..你那個是新裝潢的沒那麼快
41,M:,…so
42,F:,...我覺得…是...有人在呼喚你…老鼠啦..我覺得是老鼠啦..其實...可是跟你講說是老鼠..你就不相信啊
43,M:,...可是..我之前覺得那個聲音很奇怪..但是那就是我昨天用XXX就是…那種…廚房不是有那種綠色管子..對外面的有沒有
44,F:,..嗯嗯嗯嗯
45,M:,...我就有聽到..就是...反正就在...那邊..那隔壁那個巷子廚房那種..對外面的那個地方
46,F:,..嗯
47,M:,..就是你就可以感覺到老鼠就是..對著外面在那樣咭咭叫...然後就跑進來
48,F:,...那是你天花板
49,M:,..對啊..我天花板都有裝潢那一層哪
50,F:,..對啊
51,M:,..它裡面會有東西啊..它上面一定會有
52,F:,..你天花板會有那個..對啊
53,M:,..它上面有老鼠我知道啊
54,F:,..嗯嗯
55,M:,..然後我不知道他一開始咭咭叫是因為什麼..搞不好吃到毒藥
56,F:,...不是
57,M:,...不然咧
58,F:,...你那個老鼠很奇怪..就是咭咭叫完..牠們就千軍萬馬..嘩嘩嘩嘩嘩嘩pia pia pia pia pia pi..牠們這樣..呼喚你XX
59,M:,..一兩隻而已啊
60,F:,...沒有eh..那..它那個聲音是很多隻在pia pia pia pia pia pia那種聲音耶
61,M:,... X..叫了一個晚上..我真的是…受不了
62,F:,...昨天是扣扣扣而已吧
63,M:,...就是後來..就是聲音也不像扣扣扣
64,F:,...是喔..什麼聲音...而且沒有開冷氣的耶...扣扣扣
65,M:,..很多的扣扣扣…啪啪啪啪啪..啪啪啪啪..然後就斷斷續續..斷斷續續..斷斷續續...啪啪啪啪啪..然後過一陣子就..啪啪啪啪
66,F:,…是喔…可是那是什麼聲音
67,M:,…我覺得牠們可能..是在...咬東西吧...所以咬到喀喀喀..喀喀喀...XXX...不容易..破
68,F:,..沒有..他那個是..扣扣扣扣扣的聲音不是嗎..我覺得…死的那種..敲那種...人家牆壁的那種聲音
69,M:,...可是後來就不像啊
70,F:,...不像嗎..跟我之前聽到的一樣嗎
71,M:,...有點不太一樣
72,F:,..你不是說牠有時候會咬電線..然後被電到
73,M:,..對啊
74,F:,…那個聲音嗎
75,M:,...那是咭咭叫...可是我就是整個就是先聽到那些..咭咭叫以後然後跑進來...然後..就是..不要動...然後它那個就一直持續...一直持續..在si-..在那邊叫...就一開始先聽到牠在那邊叫
76,F:,..你這樣有XX了嗎
77,M:,..ha
78,F:,..XXXXX嗎
79,M:,...哪個XX了
80,F:,..這個啊..牠有沒有吸管....看一下
81,M:,...沒有血啊
82,F:,...唉唷
83,M:,..還没吸啊
84,F:,...有的有吸管才會吸血啊..啊有的沒有吸管…eh..請看我的衣服…你看我的衣服..你看過嗎
85,M:,...沒看過啊
86,F:,..我買了之後才發現它超瞎的
87,M:,...對啊
88,F:,..你看喔..the car...什麼東西..P...P bicycle
89,M:,…這什麼意思啊
90,F:,...它少一個the啊...P啊...P..它寫P bicycle...然後..and..它是用o-n-d ond
91,M:,...是故意的嗎
92,F:,ond travel
93,F:,...a啊..t-r..<X它的X>
94,M:,..都拼錯了
95,F:,.. t-r-o-v-e-l..trovel..不是拼錯了嗎..是故意的嗎..應該不是吧
96,M,...仿的嗎
97,F:,..我穿了一件很瞎的衣服...我之前還穿過那種
98,M:,..大陸製的
99,F:,..屁..是韓國人
100,M:,...爛
101,F:,..X..Korea...@=
102,M:,..X..Korea
103,F:,...@
104,M:,…我現在開始想要講五分鐘...X Korea
105,F:,...@v-..你不是要講X..Korea講一個小時嗎
106,M:,..fu= Korea
107,F:,..@..@@...你白痴耶你
108,M:,…你有看那個嗎..重金搖滾雙面人
109,F:,..ai-yo...eh...重金搖滾雙面人..沒有..我看搖滾教室
110,M:,…差很多eh
111,F:,…重金搖滾雙面人是那一國的
112,M:,…日本
113,F:,...日本..嗯..沒聽過…我要講什麼啦..機車耶..忘記了…喔..小時候有一件衣服..超瞎的...@@..鴨屎綠的衣服..然後全部的英文都是..無法理解的英文…然後很多...你有穿過那種衣服嗎
114,M:,...TSK..我通常很
115,F:,..菜市場的衣服
116,M:,..注意形象
117,F:,…小時候哪懂那麼多啊...長大才發現...那是無法理解的英文...亂寫一通
118,M:,...小時候我也不會穿鴨屎綠的衣服
119,F,...那是我媽買的
120,M:,...怪你媽..眼光不好
121,F:,..然後就..有一次..R就跟我說..她說.. I..你今天穿了一件鴨屎綠的衣服出來啦..然後我就再也不穿那件衣服了..@@=什麼...鴨屎綠..聽起來好難聽...它明明就是綠色的..草綠的..為什麼要說是鴨屎綠...@@@=..受傷
122,M:,..像這種嗎...像這種XX綠
123,F:,..不是..再
124,M:,…屎一點
125,F:,..再..紫..再草色一點
126,M:,…我今天在這裡殺了三隻蚊子耶
127,F:,…好餓喔
128,M:,…我發現我媽上來的時候我跟他們講那個房子是買的就會很那個
129,F:,...會怎樣..生氣唷
130,M:,..不會...他就會...很..激動的要留下來幫我拜拜…因為一定要拜什麼..地基主啊..天公啊..祖先一定都要拜啊..祖先這也沒有人沒有拜吧
131,F:,...可是...可是…我們房子還沒那個啊
132,M:,..裝潢對不對
133,F:,..過戶啊..什麼的...弄一弄啊
