Turn,Speaker,Utterence
1,F:,今天我們那個誰…我們那同…同事…要去九份…九份上次我們去過你還記得嗎…九份就是一直爬階梯對不對…然後因為他媽媽從…屏東上來要去九份…然後我們就說啊那去九份…就住你家就好了啊因為[他們]家住台北..然後他沒有他說要訂民
2,M:,[嗯]
3,F:,...訂[[民宿]]
4,M:,[[民宿喔]]
5,F:,..對…可是我跟你講…你不要說經濟不景氣…放三天假民宿都客滿
6,M:,..喔..那都..沒有[那]那事前沒訂..現在當然沒有
7,F:,[九]
8,F:,…九份那邊都客滿…金瓜石才有ei上次我們有去..金瓜石離九份多遠ha
9,M:,…沒多遠
10,F:,…開車多久
11,M:,…大概二十分鐘…[[唷]]
12,F:,[[二]]十分鐘…二十分鐘太遠了啦..他們又不會開車
13,M:,…誰不會開車啦
14,F:,…現在還是有啊..從南部上來不會開車啊
15,M:,..那麼<L3俗((俗氣)) L3>喔
16,F:,…你很奇怪耶..不會開車就<L3俗((俗氣)) L3>喔
17,M:,…@
18,F:,…亂說話..人家年紀比較大他不會開車啊[…所以]
19,M:,[那他可以]坐計程車啊
20,F:,...不方便啊..所以[[那那他不如]]就住台北了啊…他住台北再..再坐車過去就…坐車過去就好了啊..住在金瓜石也沒有…也沒有比較好..比較那個啊
21,M:,[[坐計程車為什麼]]
22,M:,..金瓜石有金瓜石的那邊也是一個..一個一個風..一個一個風景區在那裡啊
23,F:,..哪有…我們都沒有去過
24,M:,…金瓜石那有..那有那有採礦的..那有..金礦博物館..什麼金瓜石
25,F:,..可是我們上一次去九份沒有去金瓜石對不[對]
26,M:,[你]我們又沒有安排金瓜石..我們是是專程去九份的
27,F:,…算了..沒..沒有去就沒有去..還什麼專程
28,M:,..沒去..下次還可以去啊
29,F:,…um…對…那個什麼…ei…明天…明天要來去看…明天要來去電..電影院看海角七號因為我昨天去瑜珈的時候啊…我們老師他們啊..老師..同學…ho…[大]
30,M:,[明]天不行<L5呣L5>…明天[[沒有]]
31,F:,[[baby]]帶完他回去的時候我們看晚場啦
32,M:,..喔OK
33,F:,..有時候看晚場啦
34,M:,..OK
35,F:,..對..他..那..那個什麼..要不然的話..就像以前年輕人說的..啊你不看就…落伍了
36,M:,…午夜場喔
