Turn,Speaker,Utterence
1,F:,..而且我發覺啊..現在不是都有很多部落客在寫[那種]..什麼推薦文啊..什麼的
2,M:,[嗯]
3,F:,..他們那些人都…都不約而同會同時…就是大概那個時間都推薦同一間店
4,M:,..mhm
5,F:,..就大概都是那些店同時[[找]]他們…那個嗎
6,M:,[[對啊]]...差不多
7,F:,..可是有人會因為這樣..就真的去買去那個
8,M:,..會啊…不然為什麼那些部落客那麼紅
9,F:,…好..好無聊…可是那畢竟…不是真實的生活..真實的生活根本不會那樣啊
10,M:,…mhm
11,F:,..我不是跟你說我跟小氣鬼討論過那話題..就說這些部落客到底平常都在幹嘛… 有的那樣子每天出..出去吃喝玩樂…uh歐洲的遊記也可以寫…日本的也能寫…然後東南亞的也寫..台灣的也寫..所有的飯店什麼她們都住過了
12,M:,..mhm
13,F:,..對啊…她老公不知道到底在幹嘛
14,M:,..@
15,F:,..或是她本身到底在幹嘛
16,M:,…問號
17,F:,..都不用賺錢都不用生活了..也都不用那個嗎
18,M:,..沒有[啊]
19,F:,[都]沒有現實的考量嗎
20,M:,..偶爾一定都會有這種人啦…可是那不代表…大多數的人…對啊
21,F:,…可是應該也不會去羨慕才對啊
22,M:,…妳看起來很羨慕@@
23,F:,...可是那..我覺得實際上..應該不會是這樣
24,M:,..沒有啊..妳自己..現在沒辦法那樣..所以妳會很羨慕
25,F:,..是這樣嗎
26,M:,..可是妳自己是那樣子的時候妳就覺得沒有什麼
27,F:,…mhm
28,M:,…譬如說什麼..我們去..去義大利那領隊…去義大利已經去到爛掉了
29,F:,..對啊..什麼地方對他來說[[都覺得一樣]]
30,M:,[[對啊]]…跑來跑去那..對他來說都沒有什麼..還重遊義大利<L3 lei L3>
31,F:,..@@@
32,M:,..他可能想到都已經..喔..下次來到這裡的時候然後要講什麼幹嘛嗯嗯..[稿子都背得一清二楚]
33,F:,[沒有你看..對他來說]那是他的工作
34,M:,..對啊
35,F:,..然後例行性的就是
36,M:,…[[對啊]]
37,F:,[[就是這樣子]]…他可能今天到這裡…就講這樣的話...到這邊..就[換這樣介紹].. 對他來說沒有特別的…那個
38,M:,[對啊]
39,F:,…可是我們..去的時候會覺得每一個地方都好驚[奇]
40,M:,[都]很驚奇啊
41,F:,..然後都好好那個喔..好好玩喔
42,M:,…你看所以同樣的行為…就是去義大利...去義大利..然後可是對…我們..對他…不同的意義
43,F:,..對啊
44,M:,..然後差很多
45,F:,…不過出..出去總是增廣見聞
46,M:,…mhm
47,F:,..也還不錯
48,M:,..mhm…ei那時候去義大利那時候他那什麼…領隊叫我們要防那什麼…那是什麼人…他們叫..他們講那些黑人是什麼人
49,F:,..吉普賽
50,M:,..啊對對對[…吉普賽]
51,F:,[唉呦什麼人還不是都一樣]…我那天真的做那個夢啊..我真的覺得超好笑的..夢見我們全家要去西班牙…然後呢…十一點的飛機..然後八點的時候…我還在跟我妹在那邊爭..爭誰要哪一個旅行箱…在那邊爭吵不休…然後我媽居然跟我說你快點去幫寶綁頭髮
52,M:,…嗯@
53,F:,..然後爸爸也都還沒準備好..然後說這樣要去機場
54,M:,..爸爸還沒準備好是比較不可能
55,F:,..@@@=..[ei..ei]
56,M:,[不過你們還在那邊]…[[你們還在那邊東吵西吵這是非常有可能]]
57,F:,[[@@@=]]…然後我還夢到我媽跟我說ei不知道我去洗個頭來得及嗎
58,M:,...@@
59,F:,..然後我還跟她說十一點的飛機耶..現在要出門了
60,M:,…然後你爸就爆炸了
61,F:,…沒有是我爆炸..後來..最後結論好像是..我突然..我就知道我在作夢..然後可是…夢裡的那一瞬間就覺得..天啊…我不想去了..我不要去算了這樣子..她還在那邊跟我爭說飛機是十二點..我說是十一點..然後就一直爭吵不休
62,M:,..@@[@@]
