Turn,Speaker,Utterence
1,F1:,(0)我就有一次跟人家拿..拿apple 筆電來用然後用很不習慣..用windows 用得太習慣了
2,F2:,…喔..煩死了…反正現在有很多家apple 都想要找…找我們用..所以我就要決定一家..這樣
3,F1:,..那麼多家他們是代理的而已
4,F2:,..他們就是..他們算apple 是一個大的公司可是他們下面有很多個不同的..公關公司
5,F1:,..um
6,F2:,..他們就會包給不同的人做..所以..你只能跟一家合作
7,F1:,..這樣不會有那種品質不完全的那種感覺
8,F2:,(0)不會啊他們他們其實都是從XX從..同一個地方出貨..他們只是在比誰業績比較好而已
9,F1:,..是喔…所以回饋金有給他們嗎
10,F2:,..不一定每每..每一家談的..就是他們..想給我們的回饋形式是不一樣的
11,F1:,..喔
12,F2:,..那對我們來說當然是選錢最實際啊
13,F1:,..啊
14,F2:,…呃=..欸你有bikini 嗎
15,F1:,…沒有啊
16,F2:,..那你會想買嗎
17,F1:,...還好耶…我不常去..海邊
18,F2:,...好煩喔
19,F1:,...你為什麼要煩
20,F2:,..峇里..因為我要去峇里島啊
21,F1:,..喔喔...你要拍網美照
22,F2:,…假一波
23,F1:,..[@@@=]
24,F2:,[@@@=]…那種東西本來就只是用來拍一張照就結束了
25,F1:,…可是不覺得這樣XX唬人就為了買那個很浪費嗎..huh哈..我是比較務實派的覺得好浪費錢喔我還寧願去吃大餐我也不要買[[bikini ]]
26,F2:,[[@@]]@=
27,F1:,…bikini 是不是要幾千多..就為了滿足你的虛榮心
28,F2:,…um…可能吧
29,F1:,..對吧
30,F2:,…[可能被]
31,F1:,[XX]..啊
32,F2:,..大部分人都是這樣子吧...啊不然穿bikini 要幹嘛
33,F1:,..沒有..我只是看我妹買一件bikini 一千八我就不爽..她明明奶那麼小
34,F2:,...@@
35,F1:,..@@@我就不爽..為什麼..你可以拿這個工具去騙人..@@..你明明就平胸@@@
36,F2:,..真的嗎他很平嗎
37,F1:,..他超平的啊..可是他腿很長..@@
38,F2:,..[[喔]]
39,F1:,[[他除了]]胸部輸我其他都贏我@@@..好悲哀喔@@
40,F2:,..他現在是高..高..高職還是什麼
41,F1:,..欸他現在..他他現在要升大三..他要去新加坡了
42,F2:,..喔
43,F1:,..對啊..他他好像是明天去吧…可是我還沒跟他見到面…啊算了好累啊@@我懶得回家
44,F2:,...你跟你妹不熟喔
45,F1:,..也還好就覺得不知道為什麼要..就懶得回去
46,F2:,…你..你妹就什麼名字啊
