Turn,Speaker,Utterence
1,F:,那你去年去..你是真的覺得不好喔
2,M:,..也不錯啦..其實…就聽聽聽聽…因為那個時候…才剛進研究所嘛..啊..你去那邊你就會覺得…um見見世面..你就可以知道嗯[人家怎麼做研究]
3,F:,[見見世面喔]
4,M:,..對啊..你就[[知道]]他們怎樣做研究啊
5,F:,[[好]]
6,F:,..好吧
7,M:,..啊有的報的人就覺得…還OK啦
8,F:,..那我也那我也去[見見世]面好了
9,M:,[對啊]
10,M:,..對啊..他那邊...就um..怎麼講..因為每..他們那種研討會..就是..主要就是..一定要..下面要有那種…評論人
11,F:,..um
12,M:,..喔評論人就是會他們都會請一些..一些…就是…eh有一定資歷的..教授啊..什麼什麼的..啊..你上去發表..可能就是..你可能是博士生..[[或者是你可能也是老師]]..對..老師啦..比較
13,F:,[[喔uhuh]]
14,M:,…資深就是報告的人..你就會遠從可能從碩士生[啦..到]博士生啦..到那種
15,F:,[um博士生]
16,F:,..菜鳥老師
17,M:,..菜鳥老師..到那種資深的老師
18,F:,..都有
19,M:,..都有啊..對啊..我老闆去年也有報告啊
20,F:,..可是..科管那個..就是科管年會呀..那個…有很多點數嗎
21,M:,…你說論文的那個
22,F:,..um
23,M:,..應該還好啦
24,F:,..真的
25,M:,..所以說..其實老師他們…他們的那個…論文…要算的那個…好的期刊..通常還是要國外為主
26,F:,..um
27,M:,..科管那個就是主要是..huh...國內一種..一個平台吧..而且主要是讓..我覺得..是學生…可以投稿吧…[啊]去..老師應該也是有啦..只是說它…沒有那麼的有credit
28,F:,[喔]
29,M:,..[[credit]]...就是你去報..報告啊..就…評論人..但是我發現..我是覺得評論人…都..就是
30,F:,[[um]]
31,M:,..[<X 覺得 X>評]..評論什麼啊..就是你..你到底…就是...這一篇的重點..常常有的評論人..就是評..評一評..就沒有評到重點
32,F:,[不知道在評什麼]
33,F:,..[[喔]]
34,M:,[[就是說]]…其實就是不是這篇的研究範圍
35,F:,..um
36,M:,..啊..當..當然他們也是可能是給建議啦..[就是說]..你可能可以朝這方向
37,F:,[um]
38,M:,..[[但是]]...各個研究..有各個研究的限制
39,F:,[[um= 我知道]]
40,F:,..對對對對對對
41,M:,..其實…你沒有實際去 run..你的評論..其實也有限
