Turn,Speaker,Utterence
1,F1:,..因為[我都自己講自己的] [[@@@]]
2,F2:,[@@@]
3,F3:,[[你們不是住在同一間房間]]@@@
4,F2:,..我跟洪真的不行欸
5,F1:,..啊你也可以..就是講自己的啊…就醬[就可以聊天了啊]
6,F2:,[就感覺他根本就不想]..聽我的事情嗎=
7,F1:,..哈..會嗎
8,F2:,..不是但是我覺得..我覺得如果大家在講話時後他會很想加入
9,F1:,..喔..@@@
10,F2:,..對對對對對
11,F3:,..@嘻嘻嘻嘻嘻嘻
12,F1:,..哈哈哈..超像
13,F2:,..小動物
14,F1:,..超像..然後說你是想講話嗎..@@@=
15,F1:,..超=好=笑＝的＝
16,F3:,..只想聽
17,F1:,..對..蠻好笑的
18,F2:,..嗯真得蠻好笑的蔡老師…讀書啦
19,F1:,..讀書
20,F2:,..禮拜六下午讀書
21,F1:,..讀書
22,F3:,..可以..可以..可以
23,F2:,..喔我禮拜六要去=
24,F1:,..好欸
25,F2:,…我禮拜六中午要去台大吃飯
26,F1:,..為什麼
27,F2:,..妹妹來面試
28,F3:,..妹妹
29,F1:,..哦
30,F2:,..我妹
31,F3:,..親妹
32,F2:,..對
33,F3:,..哇
34,F1:,..他要面什麼
35,F2:,..好像甚麼..微生物植物病理甚麼
36,F3:,..台大喔
37,F2:,..對
38,F1:,..真的假的好屌喔
39,F2:,..下午應該是森林..他要早上面一個下午[[面一個]]
40,F1:,[[什麼]]是微生物植物病理
41,F2:,..什麼就是甚麼一個就是…植物的病的什麼..就是..神奇的系[@]
42,F3:,[@]@@@=
43,F1:,..有興趣
44,F2:,..他就對..自然生活有..他填甚 麼..他就填植物..然後森林..園藝…啊她有填獸醫沒上..他只有上中興獸醫而已
45,F1:,..哦
46,F3:,..那也算考很厲害[[的啊]]
47,F2:,[[我也覺]]得
48,F1:,..對啊
49,F2:,..沒有..面試沒上就[慘了]
50,F1:,[幾]級啊
51,F2:,..幾級喔…數學十二..然後一個不知道甚麼十四..其他都十五
52,F3:,..哦[=]
53,F2:,[但]總共也才考四個而已啊...[[他們已經變五選四了]]
54,F3:,[[他們變不一樣了]]對不對
55,F1:,..[嗯]
56,F2:,[嗯]
57,F3:,..可是
58,F1:,..這樣也考蠻不錯的啊
59,F3:,..可是..應該也是像我們一樣科..科系開出來說[[他要看哪幾科吧]]
60,F2:,[[對啊對對對對]]
61,F2:,..不然他數學[考很爛]
62,F3:,[但還是]有很多人會全部考吧
63,F2:,..嗯嗯嗯嗯
64,F1:,..他數學考比我好唉
65,F2:,..也[[考得比我好唉=]]欸我真的超爛的唉
66,F3:,[[他數學也考得比我好唉]]
67,F1:,..[@@]
68,F2:,[對啊]
69,F3:,..我們數學超難的好不好...搞什麼
70,F1:,..喔我是學測
71,F3:,..對啊[[學測數學超難的]]
72,F2:,[[你多少啊]]
73,F1:,..十@[@@=]
74,F2:,[你十喔]..那你勒
75,F3:,..好像是九@
76,F2:,..我七=@[[@@=]]我只有七唉
77,F3:,[[@@@=]]
78,F1:,..@@@=好慘喔
79,F1:,..你好白癡喔[@@@=]
80,F3:,[@@@=]X
81,F2:,..那你指考多少
82,F3:,..指考喔...我忘記...九十二還是八十八了
83,F2:,..欸我考得比你好欸 我九十六點八欸=@@
84,F3:,..我最後改掉了一題
85,F1:,..總分多少 [一百喔]
86,F2:,[一百啊]
87,F3:,..一百啊
88,F1:,..這樣感覺很厲害欸
89,F2:,..我錯一個選項而已
90,F3:,..因為指考數學其實不難
91,F2:,..嗯嗯嗯[[很簡單]]
92,F1:,[[真的喔]]
93,F3:,..對...但我在最後的
94,F1:,..欸
95,F1:,..比學測簡單
96,F3:,..[比學測簡]單
97,F2:,[超簡單的=]唉我九十六點八..唉我只錯一個選項唉[[…]]我七級分唉@
98,F2:,[[喔=]]
99,F3:,..@@@對啊..那個gap
100,F2:,..@@
101,F1:,..欸…不知道
102,F2:,..um..不知道我本來還以為我指考考超好絕對會上商院[@@@=]..結果還是沒有
103,F3:,[@@@=]
104,F1:,[@@@=]..沒有關係
105,F2:,..對..沒有關係
106,F3:,..沒有..我數學看到我改掉的那一題我就知道商院已經無望了@@
107,F2:,..真的喔你以前想讀商院喔
108,F3:,..就都嘛會先填商院
109,F2:,..真的喔=[[好意外喔]]
110,F3:,[[因為大人]]都會跟你說你就已經[學日文了]…那幹嘛還要再碰日文系
111,F2:,[欸對啊]…[[我覺得你]]來日文系還蠻浪費的=嗎
112,F1:,[[喔對啊]]
113,F3:,..我覺得還好[…]我覺得跟家教老師學的還是不太一樣
114,F2:,[真的喔]
115,F2:,..真的喔
116,F3:,..對啊
117,F1:,..有什麼差
118,F3:,..有什麼差..講得比較細吧..而且比較多類別的課
119,F1:,..哦
120,F3:,..因為家教老師他就是教你文法啊..可是他不會幫你練你口說也不會[[幫你練聽力]]
121,F1,[[哦=]]
122,F2:,..可是我覺得你..你大一口說就很不錯了=嗎=
123,F1:,..[沒有..沒有很<X認真聽X>]
124,F3:,[那是因為我喜歡用]…我喜歡用日文自言自語@@@
125,F2:,..我覺得好了不起喔…我也不[是]
126,F1:,[我]不太懂
127,F3:,..[[我蠻奇怪的@@]]
128,F2:,[[但我會在]]
129,F1:,..你是說講出來嗎
130,F3:,..就是在我自己一個人的時候
131,F2:,..好怪喔=超怪[的=]
132,F3:,[就是我的]自言自語的思考[[模式是]]日文@@@
133,F1:,[[超怪的]]
134,F2:,..欸=很不錯喔
135,F1:,..[超怪的]
136,F3:,[但只]限於自言自語的時候@@
137,F2:,..唉..我會用日文跟別人聊天@[[...但是感覺]]都是錯的
138,F3:,[[@@@]]…[X你昨天]那個我還沒看唉
139,F1:,[跟誰聊天]
140,F2:,..跟她啊我就問她..你應該不會超過..你應該不會十二點半前還沒回來...好..好怪喔...這是什麼@@@
141,F1:,..什麼東西
142,F3:,..你中文的語句就很[[怪了]]
143,F2:,[[對對對]]
144,F1:,..@@@
145,F2:,..就是就我就希望她十二點前回來因為我十二點半前就得睡覺
146,F1:,..喔=
147,F2:,..我在做實驗
148,F3:,..你就是應該..你就是跟我說..你不要超過12點半前才回來就好了
149,F2:,..對對對..我好像講成...對@對對..什麼..什麼<L4 wa-ke L4>什麼不是<L4 hazu-ga-nai brabra L4>@@@不行不行不行
150,F1:,..@@@ [完全不知道你]們在講[[什麼]]
151,F3:,[你打了一個很複雜的語句]
152,F2:,[[@@@]]
153,F3:,..[她說]..她說..我這樣打對嗎...我說..有點怪...你的中文跟日文都有點怪[[@@@=]]...回去再回你
154,F2:,[@@@=]
155,F1:,[[@@@是中文的問題啦=]]
156,F2:,..對對對..然後她還沒回我
157,F3:,..就我那時候坐在計程車上面..然後我這邊是社師
158,F1:,..哈..你原本在幹嘛
159,F2:,..喔她昨天很了不起的事情
160,F3:,..沒有..沒有一點都不了不起我就是個<L3 zhu-la ((卒仔)) L3>..@
161,F2:,..那甚麼..那甚麼獅子會
162,F3:,..社師..社師就她跟我聊天聊一聊..他講說..哇=你大二就考過n 一級了喔好厲害喔好驚訝喔..我就說沒有我們系上很多人都是這樣@但她覺得很..很不可思議她就說..昨天有一個那個東海扶輪社的..那個二十四周年慶..然後她那個社長有邀他去要不要就帶我去..帶我去social 的意思
163,F2:,..[超怪的]
164,F1:,[然後你]就去了喔
165,F3:,..然後我就去了..很恐怖[[超可怕的]]
166,F1:,[[扶輪社喔]]
167,F3:,..扶輪社
168,F1:,..啊講什麼
169,F2:,..講[中文]
170,F3:,[講中]文
171,F1:,..不是不是不是..我是說[[..]]到那邊要幹嘛
172,F2:,[[內容]]
173,F3:,..到那邊要幹嘛
174,F2:,..吃東西..吃好料
175,F3:,..就是進去..進去然後然後那個那個社長不是那個社長那個會長就走過來然後就很有力的跟你握手
176,F2:,..@@@=
177,F3:,..然後去簽到..她還欸我的老師不知道欸..老師不知道甚麼時候跟她講然後她就有用..用了一個她寫黃系主任學生然後蔡然後後面就有一個簽到的[..@]然後簽到之後就有一個名牌
178,F1:,[好屌喔]
179,F1:,..她地位怎麼那麼高啊
180,F3:,..就有一個名牌然後..我就跟老師進去..就那個整整個會場就是老闆跟老闆她老婆就是太..太貴婦跟老闆就是西裝筆挺的老闆跟[[貴婦聚集的場所]]
181,F1:,[[喔=]]啊她有穿的很..就是貴婦嗎
182,F3:,..你說老師嗎
183,F1:,..對對對
184,F3:,..沒有..她穿了一件那個..就是蠻民俗[風的長的]...但這裡還破一個洞
185,F1:,[耶=嗯嗯]
186,F2:,[哦哦哦嗯嗯]
187,F2:,..啊=哈=@@@=
188,F1:,..@@@=超=好笑
189,F3:,..我想說..沒有但她後來幾乎沒有把外套脫掉..嗎
190,F1:,..喔..她自己知道
191,F2:,..@@@=
192,F3:,..但她後來吃飯的時候還是脫掉了..我覺得她一點都不介意
193,F1:,..喔
194,F2:,.. 欸
