Turn,Speaker,Utterence
142,M3:,...我們自己看都覺得很無聊
143,M1:,...幹
144,M2:,..看到最後就不是
145,M1:,..沒有[就]很冗啊
146,M2:,[這樣]
147,M1:,..密籌我們到底為什麼
148,M3:,..啊..叫你們跳多久啊
149,M1:,...也沒講...抓三四分鐘吧
150,M2:,...huh
151,M3:,...三四
152,M1:,..就
153,M2:,...三喔三..四分鐘我聽成三十[分鐘]
154,M1:,[沒有]沒有沒有...不緊張
155,M3:,..你跳不到十分鐘就沒有人想看
156,M1:,..跳..跳兩分鐘..人家就覺得你太吵了
157,M2:,...你說你喔
158,M1:,...都是都是
159,M2:,..嗯
160,M3:,...可是密籌...也..[也]
161,M1:,[你想]
162,M3:,..一個劇
163,M1:,...對啊
164,M3:,..兩支..三支舞
165,M1:,..然後..然後..然後最後[[討論]]
166,M3:,[[啊]]..練..什麼團康啊..然後[什麼]
167,M1:,[團康]
168,M2:,[團康要練]
169,M3:,..跑活[[動]]
170,M1:,[[那個]]不用練
171,M3:,..他們..[他們說]
172,M1:,[跑..流要]
173,M3:,..他們[[說你會]]一直帶團康
174,M1:,[[團康不用練]]...對啊...就吃飯的時候跟剛開始..自我介紹的時候會
175,M3:,..對啊
176,M1:,...這還好吧
177,M2:,..多半[都這樣聊天]吧
178,M1:,[這基本的啊]
179,M1:,...然後...對啊..然後還有那個..就是跑流吧
180,M3:,..[[嗯]]
181,M1:,[[可是]]跑流要等到其他..就是其他股都已經...就是...stand by [的時候]才可以
182,M2:,[對啊]..那只是
183,M3:,..[[等一下..沒有啦]]
184,M1:,[[應該是..而且]]
185,M3:,..其他組現在其實也差不多啦...活動組的劇本寫完
186,M2:,...不是啊..你知道後來他們就...驗[完整之後]
187,M1:,[我們就..對啊]
188,M2:,..[[我們才跟他們一起跑]]
189,M1:,..[[而且我們..我們不會一直]]..我們不可能每天去跑吧
190,M2:,..對[啊]
191,M1:,[我們]可能是一驗二驗跑流...而且我們就是玩那些遊戲而已啊...然後走夜教...就一條路線啊
192,M3:,...重點是...從早上[[九點練到]]晚上四點我練三天還是XXXX啊
193,M2:,[[密逃XX很好玩]]
194,M1:,...對啊
195,M3:,...到底為什麼要練三天
196,M1:,..就是...我是覺得...早上大家一定不會太早起來嘛...所以我就早上時間我想[自己安排]
197,M3:,[覺得可以不用]早上
198,M1:,...對啊..啊..[[啊晚上我是比較懶]]得
199,M3:,[[幹嘛..幹嘛逼我早起]]
200,M1:,..就是大家去吃宵夜..我覺得我覺得我覺得想懶得..不想去..我寧願早點回去
201,M2:,...不會啊在山下的話其實..宵夜...[XXX很快]
202,M1:,[就要去後山啊]...就要去後山啊
203,M3:,...可是這個時間真的很長...十二個[[小時]]
204,M1:,[[就是]]人很..很冗啊...啊又有點浪費...像很多..[像]
205,M2:,[到底]是要驗什麼需要[[驗到十二小時然後驗兩..兩三個禮拜]]
206,M1:,[[像像傳院..傳院他們..他們]]傳院他們也是有那個廣告營..啊他們是辦兩期...他們是連續兩期...他們密..密籌都沒有那麼久
207,M3:,...就不知道為什麼
208,M2:,...就..耍冗啊..XXX[XXX]
209,M1:,[而且活動也]...活動我是不知道有沒有要練到麼久啦
210,M3:,...活動他們整個
211,M1:,...可是他們就是[[一直被砍一直被砍]]啊
212,M3:,[[他們..之前]]一直一直弄...弄到現在
213,M1:,..還是
214,M3:,..就連密籌也不用用那麼久好不好
215,M1:,...就..[XX]
216,M2:,[可是照]...每個...我們三個去這樣看起來進度...我們就算要改也不用改太多啊...欸我覺得你們編的超好笑的
217,M3:,..@真的嗎
218,M2:,..[[真的超好笑的]]
219,M1:,[[可以還可以]]
220,M2:,..真的超好笑的
221,M3:,..應該進步蠻多的
222,M1:,..[喔有]
223,M2:,[我覺得]..你的那個..那個梗是有出來
224,M3:,..uhuh
225,M2:,..真的
226,M3:,..uh
227,M1:,...就是色情有點...色太
228,M3:,..@[@@=]
229,M1:,[色太多了]
230,M2:,..[[對=]]
231,M3:,[[沒有啊]]整版都是色的啊
232,M1:,...可是..有些..有些梗..就是硬要色
233,M3:,..@@[@=]
234,M1:,[就..不太..不太優]
235,M3:,..沒辦法..我們最厲害的就是想這種東西
236,M1:,...啊你們另外兩版哩..想出[[來了喔]]
237,M3:,[[在想啊]]
238,M1:,..還沒
239,M3:,..可是..應該蠻快[的]
240,M1:,[我們]應該改很多吧...我們..我們會改很多
241,M3:,...那個
242,M1:,..對啊
243,M3:,..公[車]
244,M2:,[我們]好像沒什麼要改欸
245,M1:,..不是啊因為..就...[[就P奕]]
246,M2:,[[我們中規中矩]]
247,M1:,..P的rap 那邊...就還有還有..後面...就是演獨角戲那邊就是太...他不夠入戲
248,M2:,..可是他我覺得公車那邊什麼236那個..我覺得那個..那個橋段很怪欸
249,M3:,..那都聽不懂
250,M2:,..而且[我不知道..而且我不知道梗在哪裡]
251,M1:,[沒有那...那是他]...那是他臨時加的..那個我平常沒有這樣子
252,M2:,..喔
253,M1:,..他很喜歡臨時加[[一些不好笑的東西]]
254,M3:,[[@@@=]]
255,M2:,..P喔
256,M1:,...他很喜歡臨時加一些不好笑的東西
257,M2:,...那個..完..我完全不懂那個梗在哪裡..就是...前沒有前後[連貫]
258,M1:,[其實我]們沒有固定的台詞要背...但是
259,M3:,..喔=
260,M1:,..他有時候就臨時迸出...你知道他放梗可是就不好笑
261,M3:,..@@@
262,M2:,...不是啊我說2...[就是..那]整個
263,M1:,[236]
264,M2:,..開車那一..那一..那一[[整個橋段]]
265,M3:,[[喔...對]]
266,M1:,..那個橋段喔
267,M2:,..我看不懂
268,M1:,...就是..我們是要..用..用椅子...就是會...本來是想說拉椅子演...就是坐在椅子上面演
269,M3:,...啊他的..他的[點..他的點是什麼]
270,M2:,[可是那一段的梗在哪裡]
271,M1:,..[[huh]]
272,M2:,[[那一段]]的...梗在哪裡
273,M1:,..就是..就..就是..就是晃來晃去啊..用椅子晃來晃[去]
274,M3:,[我覺得]你要晃不如就是...比如說我轉右邊..照理說你要倒...另外一邊
275,M1:,..對啊
276,M3:,..然後..就是因為你們是假倒..所以可能倒反邊我覺得會很好笑
277,M1:,...[uh=]
278,M3:,[欸你]倒錯邊了之類的那種...不然你們...[[做那些動作我也不知道..點在哪]]
279,M2:,[[就是...這樣子然後..比如說]]...你們確定倒對邊嗎
280,M1:,..我..我
281,M2:,..喔不是這邊喔...[喔...@]
282,M3:,[@]
283,M1:,..uh..[[我]]
284,M2:,[[這樣子]]
285,M3:,..我是我是
286,M1:,...uh
287,M3:,..期待...[喔..就是要這樣]
288,M1:,[我們我們類似的是]後面就是..後面就是...他..他覺得我們要倒啊沒倒
289,M3:,...[[喔]]
290,M2:,[[可是這]]
291,M1:,..可是就是沒有演..演得...演得...很出來
292,M2:,...唐跟...P就是...跟你們..裡面...演的人場控...就是沒有做那麼好
293,M1:,...我還好啊
294,M2:,..就是控場
295,M1:,...我哩
296,M2:,...我覺得你講話很好笑
297,M3:,..你..你..[你]
298,M2:,[你講話]語氣很[[好笑]]
299,M3:,[[你蠻]]抓住我們的那個
300,M1:,..@胃...幹[不是..沒有]
301,M3:,[你..你不要]..看到你認真[[的時候]]我就想笑
302,M2:,[[不是]]
303,M2:,..對...[你不是因為台詞好笑]
304,M3:,[@@@=]
305,M1:,...只是
306,M2:,..也不是因為劇情好笑...純粹就是[你講話方式很好笑]
307,M3:,[@@@]
308,M2:,..[[@@@=]]
309,M3:,[[@@]]
310,M1:,[[幹]]
311,M3:,..你知道我是賭神
312,M2:,...呃..難..難道這是用來...<L3 kan bow dei ((蓋布袋)) L3>的嗎
313,M3:,..@..那超[XX]
314,M2:,[然後]我覺得...那個語氣
315,M3:,...就是..這句話...我講...我會覺得不好笑
316,M1:,..[[對啊]]
317,M3:,[[但是]]你講我就會笑到爛掉
318,M1:,...因為你其實也是演...好笑的啊..但是
319,M3:,..沒有..好笑的是...那個...T學R @@@
320,M1:,...uh
321,M3:,..他學[超像]
322,M2:,[T]...T演超好的欸
323,M3:,...她沒有她學R[學超][[像]]
324,M1:,[對啊]
325,M2:,[[對啊]]
326,M1:,..她..她很可愛啊
327,M3:,...uh
328,M1:,...只是..只是T..T跟那個什麼...張...就是我們還沒排到她的橋段..也不知道她們到底是..會演還不會演
329,M3:,...喔
330,M1:,..就我們還是...一個一個一個這樣
331,M3:,...T跟誰
332,M1:,...張..張
333,M2:,..張
334,M1:,..張
335,M3:,..欸對啊她還沒驗
336,M1:,..她是最後
337,M2:,..@我完全沒有看到她出來[過]
338,M3:,[@]
339,M1:,..就我們的最後...我們..本來是找豆豆..豆豆先生的泰迪熊...然後一個一個找...然後找到壞人才找到張
340,M3:,...啊這樣她不會戲份太少
341,M1:,...就是..然後...就是大家以為張是兇手...啊其實..是..張是..是..是因為豆豆先生的泰迪熊裡面有什麼...什麼核爆..核爆..按鈕什麼的
342,M3:,…@@
343,M1:,..然後..是..張其實是好人...啊豆豆先生才是壞人
344,M3:,..<L3 殺小 L3>
345,M1:,..[[我也不知道反正]]
346,M3:,[[@@..@@]]
347,M1:,...我們的架構最主要是這樣
348,M3:,...沒關係..到時候..就知道
349,M1:,..幹可是要砍啊...[我不知道這樣]
350,M2:,[很像八點檔]
351,M1:,...你rap 演不出來就...就..就
352,M3:,...ra..rap[[那邊我覺得rap ]]有點乾
353,M2:,[[rap 你們要不要重新寫啊]]
354,M2:,...就是...一來沒有押到
355,M3:,...字數不太對
356,M2:,..對啊
357,M3:,..然後
358,M2:,..然後
359,M1:,..二來
360,M3:,..氣氛..氣氛[不夠high ]
361,M1:,[二來]演員...演員也不夠...入戲或[[不夠]]
362,M2:,[[因為rap ]]你要場控..你可能出來就... yeah..uh..uh.. yeah...大家聽我唸...uh..[就是..P就是]
363,M1:,[XXXX]
364,M2:,..大家好..他是...喔我有三個姐姐...哥哥
365,M3:,..他..我覺得..我覺得rap 有一個很..重要的元素就是...它可能講到最後三個字會有人附和那三個字
366,M1:,...喔..我知道
367,M2:,…這是Elsa...Elsa的那種感覺
368,M1:,..uh...[好]
369,M3:,[你們]可以去看一下rap...我覺得..加..加個beat...配那個..[[咚咚咚登登..登登登..噠咚]]
370,M1:,[[啊...P就說什麼]]...啊P就說什麼..我怕我..我..我跟不上節奏[@@@=]
371,M2:,[@@@=]
372,M3:,[@@@=]
373,M1:,...幹我也不知道@@...我們..我..我跟R[[XX]]
374,M3:,[[跟不]]上節奏最好笑
375,M1:,...可我...我跟
376,M2:,..就是...那種...要跟不上然後又硬要[跟..然後就是XX]
377,M3:,[然後他就可以演成說]...慢一點好不好
378,M1:,..@
379,M3:,..之類的
380,M2:,..對啊
381,M1:,..喔..因為[[我跟..我跟XXX..]]每次都一直說
382,M2:,[[這樣反而有笑點]]
383,M1:,..你這樣子真的太乾..你這..你
384,M3:,..他很乾
385,M1:,...對啊
386,M2:,..P的橋段都蠻乾的...還有那個什麼... <L3 kia ka man ai la...oh yao xiu ((騎慢一點啦...夭壽)) L3>...那..就是
387,M1:,...反應是錯的對不對
388,M2:,..不是反應是錯的就是...[是]
389,M1:,[就是很]
390,M2:,...不自然的
391,M1:,..喔
392,M2:,..懂嗎..就是
393,M1:,..啊就不夠入戲啊
394,M3:,...喔你說P聽到<L3 kia ka man ai ((騎慢一點)) L3>那個
395,M1:,..對啊
396,M3:,..反應
397,M1:,...幹那..[[那個]]
398,M2:,[[就覺得]]怪怪的
399,M1:,..那個
400,M3:,..那..那邊那邊...不太合常理
401,M1:,...[@]
402,M3:,[@]
403,M2:,..就是..[[XXX]]
404,M1:,[[XXXX]]..不合常理
405,M2:,...然後你們就突然..他就突然停下來...然後就沒了
406,M1:,...喔
407,M2:,...就是...感覺可以...就是賽車感覺可以有什麼...出其不意的結尾之類的
408,M3:,...跑跑完太久
409,M1:,...太正式..我都玩競速啊..很少玩道具
410,M3:,..@
411,M1:,...幹...X
412,M3:,...可是你們...你們...歌...是到時候是要...[剪好還是]
413,M1:,[我們是要剪吧]...而且秒數都要算準
414,M2:,..誰
415,M1:,..你們一首[[一首]]
416,M2:,[[你說我們哦]]
417,M1:,..你們一首一首放絕對會出事
418,M2:,...我們應該是輪一台放吧...因為有些地方我們是要對那個點...像那個..車撞到..或者是..煞車[聲什麼]
419,M1:,[可是]
420,M2:,..喔咿喔咿
421,M1:,...uh..uh...希望不要出事就好
422,M2:,...不會啊...上..上次還好
423,M3:,...可是你們...所以你們是要...一首一首放喔...時間剪好...放一首
424,M2:,...沒有..不可能
425,M3:,...所以..[[要有人]]
426,M2:,[[因為我們有]]..我們有那種對峙的...橋段...有的是..那種對峙橋段的[話那個]秒數很
427,M1:,[秒數算不好]
428,M2:,..不太...每次可能...稍微不太一樣
429,M3:,...看啦
430,M2:,..嗯
431,M3:,...哇...專業
432,M1:,...什麼專業
433,M3:,..那個啊...那個你們那個組長叫什麼
434,M1:,...XXX
435,M3:,...喔對啦
436,M1:,... XXX
437,M3:,..就是號稱...兩個偶包@@[[@=]]
438,M2:,[[@@@=]]
439,M1:,..兩個..偶包..還有偶包
440,M3:,...兩[個..兩..兩個偶包]
441,M2:,[你知道..你知道]...那個什麼...XXX也不太會演啊...就是[[..他]]會演那個
442,M1:,[[對]]
443,M2:,...英文老師..英文老師跟[..那個..女生]
444,M1:,[你說勾引女生嗎]
445,M2:,..不是..[[英文]]
446,M1:,[[你說撞車]]的那個
447,M2:,..勾引那個...你現在..你看到他現在做的很騷的什麼..全部都是我教的
448,M1:,...喔
449,M2:,..就是連拉領帶那
450,M1:,..喔可以..可以感覺得出來
451,M2:,...那些動作全部都是我教他的..然後...那個...[他們撞車那個地方]
452,M1:,[XXXX...雄..雄..雄女的]
453,M2:,..就是..我還...就是演給他看然後我演完第一次之後..那次...XXX也沒有來然後他們就說...欸要不要你那時候就串演...英文老師了[[@@@]]
454,M3:,[[@@@=]]
455,M2:,..我想...嗯..這樣可以嗎...X..X…戴錦..戴錦...看著我..然後他講話的時候..戴看著我...um..你不是[應該要很兇嗎@]
456,M3:,[@@@=]
457,M1:,...他..他慢慢..他很慢慢講啦
458,M3:,...我覺得你們那一組...偶包...也很多
459,M2:,...然後K是..每次就是
460,M3:,..@XXX[XXX]
461,M2:,[不是]..他不是偶包...[[他是]]
462,M1:,[[為什麼]]XX以前比較帥
463,M3:,..@@@=
464,M2:,..然後..他每次就..[喔嘿]
465,M1:,[XXX]
466,M2:,..唷嘿..啊我女朋友怎麼還沒來...喔..喔這個[[XXX喔]]
467,M1:,[[每..每次演的時候]]不正式演
468,M3:,..我覺得..我覺得他
469,M2:,..羅都說他不正經..然後[演得很好笑]
470,M3:,[演戲像在]..像在做自己
471,M2:,...欸對...他太[做自己了]
472,M3:,[yeah.. ]yeah..他跟XX講話都這樣
473,M2:,..對啊
474,M3:,..他跟楊
475,M2:,[[蛤..真的嗎]]..可是...可是...我
476,M3:,..對啊對啊對啊...[欸]
477,M2:,[喔]...@@@
478,M1:,..huh..um..um..欸[[...好啊]]
479,M3:,[[@@@=]]
480,M2:,..[欸我]
481,M3:,[可是]X..XX超不像的...[[他]]
482,M2:,[[那個]]
483,M3:,..他超怪的
484,M2:,..K演技超好笑的...就超可愛的
485,M1:,...喔可是那樣子演..還蠻好笑的啊
486,M3:,...對啦
487,M1:,..就是
488,M3:,..[就是]
489,M1:,[小]隊員他們
490,M2:,..太[[好笑了]]
491,M3:,[[太..太]]...跟他太熟了...就會覺得..他怎麼把他自己搬上去
492,M2:,..對對對
493,M1:,..uh
494,M2:,...可能小隊員不會發現這是演自己
495,M3:,..@@@=
496,M1:,...欸對了...XX說可不可以跟你講..就是...你可不可以去..啊你沒有跟我們上日文課
497,M2:,...沒有
498,M1:,..因為XX S假如沒去上助教課會生氣
499,M2:,...hum
500,M1:,.. S 假如沒去上助教課..搞不好會生氣
501,M2:,...假如沒去上助[教課]
502,M1:,[假如]去上助教課
503,M2:,...可能會生氣
504,M1:,..嗯
505,M2:,..為什麼
506,M1:,..因..因為他日文課有先例
507,M3:,...他嗆G
508,M1:,..他嗆G他說..老師...你的黑板可以寫清楚一[點嗎]
509,M2:,[@]
510,M1:,...我們寫在最後..我們坐在最後面聊天@[[@@=]]
511,M3:,[[@@@]]...而且他是...有時候是那種...就是[比方說我跟你說]
512,M1:,[是爆氣那種]
513,M3:,..假設如果老師...可能不清楚的話..欸這個很不清楚...沒有他是這樣...欸[[那個]]
514,M2:,[[有湯匙]]
515,M3:,..真的很不清[楚欸]
516,M2:,[湯匙]在這裡
517,M1:,..我懶得拿
518,M3:,..[@]
519,M2:,[幹]..你不用手喔...我有手可以拿碗..可是我沒有手可以拿湯匙
520,M1:,..閉嘴啦
521,M2:,...他今天早上...拿他床來曬衣服...沒有在用自己的衣架的
522,M1:,..[有]
523,M2:,[然後]..[[沒有]]
524,M1:,[[今天我]]...今天我用自己的衣架
525,M2:,..屁
526,M1:,..[那個不是]
527,M2:,[屁蛋]我的衣架
528,M1:,..那個[[不是啦]]
529,M2:,[[那是我]]的
530,M3:,..[@@@=]
531,M1:,[@@@=]
532,M2:,...你知道我..因為我的...擦頭髮的跟擦...身體的毛巾都掛在外面...所以我那時候我在洗澡...所以[[理所當然那兩個衣架]]都是空的
533,M1:,[[@@@]]
534,M3:,[[@@@=]]
535,M2:,...他就走過去...把我一個衣架丟在[地上一個衣架拿來用]
536,M3:,[@@@=]
537,M2:,..你到底有什麼毛病啊
538,M1:,..屁啦...是我本來帶四個..一個掉到地上..我就懶得撿...然後就[只剩上鋪那一個]
539,M3:,[@@@=]
540,M2:,...一定是你弄的
541,M1:,...幹..另外一個好的我沒拿下來欸
542,M3:,...你是不是都拿別人衣架
543,M1:,..huh...我又沒拿回來
544,M2:,..然後我就跟他
545,M3:,..@@@
546,M2:,..我之前..我上[[學期]]
547,M1:,[[實用借貸]]
548,M2:,...我上學期...就跟他說...欸...欸我衣架不夠了..你覺得我要不要去買啊...然後
549,M1:,..@@@
550,M3:,..@[@@]
551,M2:,[huh]..不用啊..我都幹別人的
552,M3:,..[[@@@=]]
553,M2:,[[我剛剛這個臉是不是]]
554,M1:,[[我沒有幹別人的]]
555,M2:,..有...你都這樣講
556,M1:,..我沒有..拿回來
557,M3:,..@@@
558,M2:,...意思一樣[...在我...使用前]使用後他媽的我衣架上面掛的是別人很噁心的
559,M3:,[@啊=]
560,M1:,..@@@
561,M2:,..流完汗只泡過水的衣服這樣我就會覺得很不爽...然後另外一支衣架還被你丟在地上
562,M1:,..@=...他情緒管理不好
563,M2:,..[[@你才情緒管理不好喔]]
564,M3:,[[@@@=]]...講話不負責任..做事也不負責任
565,M2:,...XXX..huh...我就說..欸...搞不好是別人撿...撿來去用啊...喔..沒差啊
566,M3:,..@@@=
567,M2:,...那..他之前上...上什麼
568,M1:,...什麼
569,M2:,..刑法TA...他坐我旁邊...然後
570,M1:,..你有上過
571,M3:,...@@[@=]
572,M2:,[我..你]
573,M1:,..XXXX屁啦...上次你自己坐在最後面的啊...而且那[[刑法]]
574,M2:,[[我有看過]]...隨..啊X..喔隨便啦反正你有一[堂課]
575,M3:,[@@@=]
576,M2:,..[[XXXX]]
577,M1:,[[他很吵]]
578,M2:,...不要吵...[就是有]
579,M1:,[有上過]
580,M2:,...我有上過刑法 TA還蠻常的...比他常吧
581,M3:,..他上學期跟我說
582,M1:,..我覺得差不多
583,M3:,..欸我覺得我..這學期真的很少上..我下學期一定要認[[真上課]]
584,M2:,[[@@=]]
585,M3:,...結果
586,M1:,...差不多
587,M3:,..他差不多來了快一兩次啦..[我是不是每]
588,M2:,[沒有]
589,M3:,..我是不是每天去
590,M2:,..沒有
591,M3:,..我[[是不是每天去]]
592,M1:,[[從後面後面後來有每次去]]
593,M3:,..對啊我每次去
594,M1:,..[中間還有一兩次沒]
595,M2:,[我後來也每次去啊]
596,M3:,..沒有
597,M1:,..沒有
598,M3:,..沒有..我們每次都在賭...雷[[會不會來]]
599,M2:,[[我有忘記]]
600,M3:,..不會
601,M1:,... huh...你有放棄還是忘記
602,M2:,..[忘記]
603,M3:,[@]@@=
604,M1:,..喔..我有放棄...那後來哩
605,M2:,..他上課...他不是每次都拿那種...原子筆在寫字嗎...然後他那..那天那支筆...不知道怎樣..[[爆水還是怎樣]]
606,M3:,[[@@@]]
607,M2:,..就一堆藍藍的...然後他...寫幾個字
608,M3:,...@
609,M2:,..人家椅背不是長這樣嗎
610,M1:,..@@@
611,M1:,..XX有一個[XX]
612,M2:,[然後]這邊有一個..凸出..凸出來的..然後他就寫一寫
613,M3:,...@@@ =
614,M2:,..然後我就說..幹..你在幹嘛..然後..喔..又沒差...然後他就繼續寫..然後寫一寫..啊又爆水了...下課之後..那一塊..變藍色的
615,M1:,..[[@]]
616,M3:,[[@]]
617,M1:,...幹..[沒有到那麼慘啦]
618,M3:,[@@@=]
619,M2:,...真的是[藍的]
620,M1:,[沒有藍色]的啦
621,M2:,...你看..你看..[[惱羞成怒]]
622,M1:,[[就花紋而已]]..就是有花紋
623,M2:,..[什麼]
624,M1:,[不是]整塊藍色的
625,M2:,..這不是花紋...那叫破壞..@你不要把它講得很像藝術品好不好
626,M1:,..[幹]
627,M2:,[他就]這樣子...然後就...有人說..幹..然後他就這樣看我...他就一臉這樣子...uh
628,M3:,…@=
629,M1:,...幹那又..還好
630,M2:,...@然後...還好吧
631,M3:,...可是每次都這樣啊
632,M2:,..還好吧
633,M3:,..沒關係啦
634,M2:,..[[你是不是越來越像..魏啊]]
635,M3:,[[@@@=]]
636,M1:,..huh..魏
637,M2:,...還好吧
638,M3:,...@@@=
